Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Augsburg,34,34.0,18024,16282,1663,470,56,83,708,716,165,64,81,0,13841,79,349
vs Bayern Munich,28,34.0,12829,11249,1531,363,17,116,454,608,126,61,49,1,9411,49,344
vs Bochum,26,34.0,16038,14119,1855,455,34,131,676,853,195,84,90,1,11742,64,319
vs Dortmund,30,34.0,14394,12810,1498,353,51,86,476,595,153,55,75,1,11021,86,309
vs Eint Frankfurt,28,34.0,16233,14486,1689,478,34,88,520,721,141,56,73,0,12292,58,357
vs Freiburg,27,34.0,16835,15223,1568,443,49,88,548,659,148,60,68,2,13030,44,303
vs Gladbach,27,34.0,16130,14554,1486,381,30,119,671,635,181,81,62,0,12596,90,342
vs Hertha BSC,32,34.0,18039,16064,1899,449,47,111,652,902,203,90,79,2,13867,76,349
vs Hoffenheim,31,34.0,16768,14896,1807,527,43,104,652,760,187,70,76,0,12906,65,349
vs Köln,27,34.0,16789,14939,1795,448,29,121,598,850,156,70,59,0,12817,55,370
vs Leverkusen,27,34.0,16950,15411,1477,397,35,91,525,641,131,68,54,2,13329,62,304
vs Mainz 05,27,34.0,18210,16407,1755,520,45,108,599,755,142,55,71,1,13921,48,363
vs RB Leipzig,25,34.0,14800,13150,1601,449,34,102,483,673,120,60,42,1,11163,49,370
vs Schalke 04,35,34.0,16016,14133,1821,475,49,139,618,795,206,102,77,2,12030,62,331
vs Stuttgart,30,34.0,16923,15251,1619,373,26,86,575,732,163,79,56,1,13193,53,348
vs Union Berlin,28,34.0,18818,17083,1702,484,40,108,594,703,158,69,71,0,14887,33,291
vs Werder Bremen,25,34.0,17033,15214,1726,469,52,64,629,770,190,93,72,2,12977,93,316
vs Wolfsburg,28,34.0,15835,14014,1727,413,63,137,616,741,205,69,81,7,12117,94,365
