Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Atalanta,32,38.0,94,1,1,491,488,69,468,429,407,4,6,3,2240,518,685,43.1
vs Bologna,36,38.0,83,4,2,527,416,88,680,376,321,8,5,1,2032,520,492,51.4
vs Cagliari,33,38.0,74,5,1,526,524,76,693,306,275,6,4,0,2112,742,696,51.6
vs Empoli,28,38.0,80,1,0,488,482,66,787,377,361,7,7,3,2051,549,427,56.3
vs Fiorentina,28,38.0,103,4,3,585,441,119,437,351,289,4,12,0,1825,456,469,49.3
vs Genoa,40,38.0,82,1,0,523,530,59,648,350,370,4,7,1,2257,743,635,53.9
vs Hellas Verona,31,38.0,74,3,0,463,534,32,682,425,367,3,8,2,2206,733,689,51.5
vs Inter,27,38.0,79,5,1,440,441,34,516,395,251,3,11,1,1767,476,549,46.4
vs Juventus,32,38.0,94,4,2,525,471,35,730,364,334,5,6,1,1894,440,550,44.4
vs Lazio,27,38.0,100,7,3,474,418,73,602,399,319,6,9,3,1956,427,411,51.0
vs Milan,28,38.0,91,6,2,533,440,63,533,356,352,3,8,3,2106,517,521,49.8
vs Napoli,27,38.0,101,9,5,517,415,60,552,397,320,0,14,0,1963,403,393,50.6
vs Roma,29,38.0,106,8,5,497,477,81,504,383,361,5,9,1,1970,441,524,45.7
vs Salernitana,42,38.0,98,8,4,546,463,63,745,315,341,6,5,1,2043,506,657,43.5
vs Sampdoria,34,38.0,82,2,2,538,471,64,764,363,276,1,4,4,2174,506,609,45.4
vs Sassuolo,29,38.0,83,6,5,519,434,142,670,374,371,6,7,4,2041,404,343,54.1
vs Spezia,30,38.0,85,2,2,474,477,62,710,334,366,8,5,3,2064,589,530,52.6
vs Torino,31,38.0,96,7,3,485,611,60,558,300,284,10,6,3,1989,891,781,53.3
vs Udinese,29,38.0,107,6,6,494,537,57,653,340,363,6,4,3,2010,534,453,54.1
vs Venezia,39,38.0,79,3,2,476,492,48,817,370,341,5,5,0,2059,583,564,50.8
