Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Augsburg,22,47.5,6.0,3437,378,1159,1539,776,115,3437,93,34,36.6,52,55.9,1745,8683,4323,85,59,19,124,53,2012,203
Bayern Munich,20,61.8,6.0,4779,353,1112,2358,1352,206,4775,131,50,38.2,68,51.9,3172,14992,7630,126,100,54,88,44,3596,303
Dortmund,21,57.8,6.0,4348,335,1097,2072,1206,152,4347,112,48,42.9,56,50.0,2544,12427,7112,121,113,24,101,53,3094,325
Eint Frankfurt,22,55.5,6.0,3985,419,1318,1706,991,150,3984,92,40,43.5,48,52.2,2252,10861,5591,117,83,26,105,50,2684,258
Freiburg,23,49.7,6.0,3403,341,1108,1549,767,135,3400,84,39,46.4,39,46.4,1760,9619,4383,74,62,19,99,41,2033,202
Gladbach,23,51.0,7.0,4382,481,1335,2107,979,161,4382,81,26,32.1,53,65.4,2333,12396,6431,113,93,24,113,58,2905,301
Hamburger SV,24,44.3,6.0,3308,444,1336,1419,599,108,3308,99,51,51.5,41,41.4,1916,10782,5764,105,72,23,104,44,2018,159
Heidenheim,23,40.5,6.0,2904,440,1252,1096,589,91,2904,69,27,39.1,36,52.2,1434,7855,4349,60,43,11,81,31,1637,149
Hoffenheim,20,51.8,6.0,3609,357,1164,1655,823,152,3607,72,35,48.6,33,45.8,1624,8598,4105,98,53,20,88,47,2192,215
Köln,22,44.7,6.0,3244,467,1178,1344,738,138,3244,55,25,45.5,29,52.7,1607,8358,4051,78,59,26,84,44,1966,167
Leverkusen,23,56.5,6.0,4297,388,1288,2163,878,109,4295,115,49,42.6,52,45.2,2744,13374,6747,98,85,20,89,45,3111,185
Mainz 05,23,53.3,6.0,3549,300,980,1497,1105,180,3548,79,42,53.2,34,43.0,1672,8369,3950,83,60,24,109,48,2113,269
RB Leipzig,21,48.8,6.0,3684,500,1415,1495,814,188,3683,131,71,54.2,52,39.7,2082,11066,5995,142,85,49,96,35,2309,216
St. Pauli,17,52.5,6.0,3993,315,1171,1870,987,125,3991,75,32,42.7,39,52.0,1722,7841,3907,85,53,13,102,52,2629,248
Stuttgart,22,59.2,6.0,4179,405,1155,2047,1011,144,4177,69,31,44.9,32,46.4,2412,12171,6358,132,99,31,84,49,2910,290
Union Berlin,19,32.3,7.0,3048,427,1129,1239,713,134,3047,81,35,43.2,43,53.1,1417,6970,3422,73,49,18,115,61,1478,142
Werder Bremen,22,46.7,6.0,3725,536,1482,1567,705,110,3722,92,37,40.2,50,54.3,2214,11064,5173,89,71,21,97,49,2407,216
Wolfsburg,21,48.8,6.0,3463,541,1471,1301,718,114,3462,63,24,38.1,34,54.0,1890,8566,4443,75,52,22,91,38,2158,173
