Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Alavés,3,38,38,3420,38.0,31,0.82,118,88,78.8,23,7,8,16,42.1,7,6,1,0,14.3
vs Athletic Club,2,38,38,3420,38.0,43,1.13,157,113,74.5,11,13,14,14,36.8,7,3,4,0,57.1
vs Atlético Madrid,1,38,38,3420,38.0,65,1.71,157,93,61.1,9,8,21,7,18.4,5,4,1,0,20.0
vs Barcelona,2,38,38,3420,38.0,68,1.79,184,115,66.3,7,10,21,8,21.1,7,6,1,0,14.3
vs Betis,2,38,38,3420,38.0,62,1.63,188,128,70.2,11,8,19,11,28.9,6,6,0,0,0.0
vs Cádiz,1,38,38,3420,38.0,35,0.92,124,86,74.2,15,15,8,13,34.2,6,3,3,0,50.0
vs Celta Vigo,1,38,38,3420,38.0,43,1.13,141,96,71.6,16,10,12,15,39.5,6,3,3,0,50.0
vs Elche,2,38,38,3420,38.0,40,1.05,107,68,63.6,18,9,11,12,31.6,1,1,0,0,0.0
vs Espanyol,3,38,38,3420,38.0,40,1.05,133,94,73.7,16,12,10,10,26.3,5,5,0,0,0.0
vs Getafe,2,38,38,3420,38.0,33,0.87,116,83,74.1,15,15,8,18,47.4,5,3,2,0,40.0
vs Granada,2,38,38,3420,38.0,44,1.16,134,91,69.4,16,14,8,13,34.2,5,3,0,2,0.0
vs Levante,4,38,38,3420,38.0,51,1.34,158,103,72.8,19,11,8,12,31.6,13,8,4,1,33.3
vs Mallorca,4,38,38,3420,38.0,36,0.95,138,104,78.3,19,9,10,15,39.5,7,6,1,0,14.3
vs Osasuna,2,38,38,3420,38.0,37,0.97,122,83,74.6,15,11,12,15,39.5,8,6,2,0,25.0
vs Rayo Vallecano,2,38,38,3420,38.0,39,1.03,137,99,74.5,18,9,11,14,36.8,4,4,0,0,0.0
vs Real Madrid,2,38,38,3420,38.0,80,2.11,254,171,71.7,4,8,26,8,21.1,12,8,3,1,27.3
vs Real Sociedad,2,38,38,3420,38.0,40,1.05,153,112,79.7,10,11,17,11,28.9,10,9,1,0,10.0
vs Sevilla,3,38,38,3417,38.0,53,1.4,142,90,64.1,4,16,18,7,18.4,3,2,1,0,33.3
vs Valencia,3,38,38,3420,38.0,48,1.26,138,92,71.0,12,15,11,8,21.1,9,8,1,0,11.1
vs Villarreal,2,38,38,3420,38.0,63,1.66,170,107,65.9,11,11,16,11,28.9,6,5,1,0,16.7
