Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Augsburg,34,34.0,500,302,231,200,69,234,436,53.7,202,387,99,288,262,762,701,7
vs Bayern Munich,28,34.0,716,417,342,301,73,362,828,43.7,466,442,159,283,414,1130,711,12
vs Bochum,26,34.0,453,286,213,180,60,195,370,52.7,175,346,102,244,282,735,739,8
vs Dortmund,30,34.0,722,439,367,277,78,366,781,46.9,415,462,124,338,339,1061,727,11
vs Eint Frankfurt,28,34.0,624,360,311,242,71,331,623,53.1,292,432,101,331,377,1001,734,9
vs Freiburg,27,34.0,440,243,217,168,55,200,415,48.2,215,363,97,266,287,727,679,11
vs Gladbach,27,34.0,530,316,198,249,83,226,466,48.5,240,444,89,355,336,866,487,13
vs Hertha BSC,32,34.0,617,384,272,278,67,316,639,49.5,323,350,93,257,299,916,645,9
vs Hoffenheim,31,34.0,526,316,281,189,56,268,517,51.8,249,386,98,288,314,840,606,8
vs Köln,27,34.0,523,305,242,228,53,236,462,51.1,226,447,114,333,287,810,786,6
vs Leverkusen,27,34.0,595,326,232,263,100,268,620,43.2,352,388,109,279,334,929,527,7
vs Mainz 05,27,34.0,471,298,228,189,54,220,444,49.5,224,411,102,309,296,767,789,17
vs RB Leipzig,25,34.0,586,342,290,234,62,270,615,43.9,345,484,120,364,407,993,586,10
vs Schalke 04,35,34.0,523,316,222,241,60,249,447,55.7,198,394,108,286,262,785,840,2
vs Stuttgart,30,34.0,655,378,305,274,76,319,656,48.6,337,404,123,281,292,947,653,11
vs Union Berlin,28,34.0,424,254,251,123,50,180,362,49.7,182,359,82,277,234,658,760,11
vs Werder Bremen,25,34.0,474,290,182,224,68,228,461,49.5,233,371,80,291,304,778,568,5
vs Wolfsburg,28,34.0,540,321,249,218,73,268,524,51.1,256,378,97,281,307,847,573,9
