Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Angers,1,38,38,3419,38.0,40,1.05,141,100,75.2,18,8,12,16,42.1,6,5,1,0,16.7
vs Bordeaux,1,38,38,3420,38.0,42,1.11,141,100,73.0,19,6,13,12,31.6,4,4,0,0,0.0
vs Brest,2,38,38,3420,38.0,50,1.32,159,110,70.4,19,8,11,11,28.9,4,3,1,0,25.0
vs Dijon,3,38,38,3420,38.0,25,0.66,91,65,75.8,25,9,4,21,55.3,5,3,1,1,25.0
vs Lens,2,38,38,3420,38.0,55,1.45,143,90,68.5,11,12,15,8,21.1,12,10,0,2,0.0
vs Lille,1,38,38,3420,38.0,64,1.68,183,121,67.8,3,11,24,4,10.5,5,5,0,0,0.0
vs Lorient,2,38,38,3420,38.0,50,1.32,139,90,70.5,18,9,11,10,26.3,10,9,0,1,0.0
vs Lyon,1,38,38,3420,38.0,81,2.13,233,157,70.0,6,10,22,3,7.9,11,11,0,0,0.0
vs Marseille,2,38,38,3420,38.0,54,1.42,134,79,62.7,10,12,16,8,21.1,7,4,2,1,33.3
vs Metz,2,38,38,3420,38.0,44,1.16,138,92,73.2,15,11,12,12,31.6,11,7,4,0,36.4
vs Monaco,3,38,38,3420,38.0,76,2.0,174,96,63.2,8,6,24,5,13.2,15,12,2,1,14.3
vs Montpellier,2,38,38,3420,38.0,60,1.58,171,111,66.1,12,12,14,6,15.8,5,2,1,2,33.3
vs Nantes,1,38,38,3420,38.0,47,1.24,129,81,69.8,16,13,9,9,23.7,9,8,1,0,11.1
vs Nice,1,38,38,3420,38.0,50,1.32,145,96,70.3,16,7,15,11,28.9,7,7,0,0,0.0
vs Nîmes,1,38,38,3420,38.0,40,1.05,139,98,76.3,21,8,9,13,34.2,8,7,1,0,12.5
vs Paris S-G,3,38,38,3418,38.0,86,2.26,212,128,65.1,8,4,26,6,15.8,13,12,0,1,0.0
vs Reims,2,38,38,3420,38.0,42,1.11,127,88,70.9,14,15,9,14,36.8,5,5,0,0,0.0
vs Rennes,3,38,38,3420,38.0,52,1.37,162,112,69.8,12,10,16,10,26.3,3,3,0,0,0.0
vs Saint-Étienne,3,38,38,3420,38.0,42,1.11,147,106,75.5,16,10,12,11,28.9,9,6,1,2,14.3
vs Strasbourg,3,38,38,3420,38.0,49,1.29,141,90,72.3,18,9,11,10,26.3,12,10,2,0,16.7
