Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Arsenal,25,38.0,679,376,396,205,78,304,587,51.8,283,492,220,272,299,978,875,23
vs Aston Villa,31,38.0,731,435,305,309,117,315,660,47.7,345,413,147,266,304,1035,751,20
vs Bournemouth,30,38.0,800,480,389,303,108,414,796,52.0,382,476,161,315,264,1064,813,14
vs Brentford,28,38.0,540,329,251,183,106,269,512,52.5,243,444,125,319,293,833,916,17
vs Brighton,30,38.0,664,396,330,253,81,322,619,52.0,297,454,165,289,355,1019,733,12
vs Burnley,31,38.0,625,387,310,222,93,329,629,52.3,300,413,111,302,292,917,691,12
vs Chelsea,32,38.0,735,438,361,259,115,365,763,47.8,398,458,147,311,374,1109,708,21
vs Crystal Palace,26,38.0,746,446,338,302,106,320,661,48.4,341,452,133,319,301,1047,695,17
vs Everton,26,38.0,587,335,304,216,67,267,517,51.6,250,423,130,293,262,849,873,18
vs Fulham,25,38.0,557,333,222,237,98,232,503,46.1,271,505,124,381,321,878,815,16
vs Liverpool,30,38.0,738,438,413,269,56,331,662,50.0,331,553,224,329,378,1116,1060,18
vs Luton Town,28,38.0,716,418,348,269,99,331,685,48.3,354,469,140,329,269,985,839,18
vs Manchester City,25,38.0,638,335,379,193,66,282,659,42.8,377,537,207,330,314,952,847,13
vs Manchester Utd,31,38.0,645,373,344,210,91,303,614,49.3,311,489,172,317,378,1023,713,18
vs Newcastle Utd,32,38.0,688,409,314,283,91,288,643,44.8,355,481,152,329,342,1030,735,24
vs Nott'ham Forest,33,38.0,554,341,234,219,101,268,543,49.4,275,391,113,278,289,843,747,12
vs Sheffield Utd,35,38.0,608,358,288,225,95,286,537,53.3,251,413,106,307,275,883,610,9
vs Tottenham,29,38.0,738,411,375,256,107,363,722,50.3,359,598,170,428,416,1154,783,16
vs West Ham,26,38.0,718,406,310,315,93,321,674,47.6,353,451,108,343,253,971,766,15
vs Wolves,27,38.0,713,431,296,288,129,324,739,43.8,415,394,107,287,329,1042,613,16
