Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Alavés,33,38.0,511,273,249,193,69,233,504,46.2,271,351,87,264,311,822,729,12
vs Athletic Club,26,38.0,573,353,293,224,56,232,529,43.9,297,393,131,262,387,960,817,14
vs Atlético Madrid,26,38.0,570,309,297,201,72,217,600,36.2,383,364,103,261,404,974,803,10
vs Barcelona,38,38.0,631,352,309,250,72,273,747,36.5,474,376,109,267,392,1023,809,10
vs Betis,31,38.0,647,370,331,254,62,282,654,43.1,372,416,135,281,375,1022,614,11
vs Cádiz,33,38.0,529,312,265,197,67,238,519,45.9,281,328,89,239,323,852,792,12
vs Celta Vigo,25,38.0,554,324,236,237,81,244,590,41.4,346,410,97,313,454,1008,776,14
vs Elche,28,38.0,588,346,244,268,76,258,597,43.2,339,363,87,276,359,947,617,9
vs Espanyol,34,38.0,574,350,248,249,77,243,616,39.4,373,338,98,240,287,861,591,4
vs Getafe,31,38.0,511,279,204,239,68,210,452,46.5,242,343,106,237,357,868,668,8
vs Granada,32,38.0,546,280,268,193,85,225,495,45.5,270,359,106,253,307,853,662,11
vs Levante,31,38.0,637,384,345,238,54,335,683,49.0,348,379,107,272,327,964,621,17
vs Mallorca,33,38.0,648,351,257,304,87,244,612,39.9,368,377,121,256,306,954,746,10
vs Osasuna,29,38.0,515,326,265,204,46,206,467,44.1,261,355,99,256,353,868,843,15
vs Rayo Vallecano,28,38.0,653,391,304,274,75,282,639,44.1,357,400,130,270,343,996,711,15
vs Real Madrid,31,38.0,601,346,347,159,95,324,780,41.5,456,443,161,282,342,943,696,16
vs Real Sociedad,32,38.0,701,415,344,276,81,310,670,46.3,360,424,117,307,339,1040,693,9
vs Sevilla,33,38.0,609,353,312,203,94,283,588,48.1,305,344,91,253,348,957,748,8
vs Valencia,34,38.0,576,335,299,211,66,282,642,43.9,360,314,90,224,286,862,795,7
vs Villarreal,29,38.0,628,380,310,234,84,296,746,39.7,450,469,112,357,387,1015,690,11
