Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Angers,30,34.0,49,2,0,380,398,69,575,336,392,6,5,0,1414,334,428,43.8
Auxerre,29,34.0,68,4,1,404,362,48,542,350,403,4,8,3,1492,412,422,49.4
Brest,30,34.0,69,3,1,430,413,42,641,316,426,5,10,2,1471,534,508,51.2
Le Havre,31,34.0,56,4,1,379,403,50,695,324,387,6,6,1,1399,451,436,50.8
Lens,33,34.0,86,8,3,499,360,84,706,321,365,2,9,0,1576,450,414,52.1
Lille,27,34.0,77,2,1,410,376,48,535,271,356,8,4,1,1535,392,350,52.8
Lyon,31,34.0,60,0,0,407,357,71,598,282,340,6,3,0,1422,305,332,47.9
Marseille,32,34.0,64,6,4,394,371,53,609,280,358,5,6,2,1485,312,249,55.6
Monaco,28,34.0,60,4,2,462,444,69,563,357,429,3,3,0,1763,426,421,50.3
Montpellier,35,34.0,87,7,2,427,438,65,646,273,389,3,9,3,1349,374,442,45.8
Nantes,30,34.0,71,4,0,413,389,31,611,283,376,3,8,3,1289,426,439,49.2
Nice,31,34.0,59,5,2,391,417,56,599,365,399,5,3,1,1608,427,402,51.5
Paris S-G,28,34.0,37,0,0,307,336,54,562,265,386,6,3,1,1654,262,214,55.0
Reims,34,34.0,66,6,2,392,372,59,611,289,359,1,5,0,1407,378,430,46.8
Rennes,35,34.0,67,2,0,445,382,48,580,337,363,4,6,2,1458,443,393,53.0
Saint-Étienne,32,34.0,65,3,1,449,361,46,402,328,382,4,15,2,1428,342,386,47.0
Strasbourg,30,34.0,71,3,1,393,417,48,496,282,335,2,9,2,1436,339,324,51.1
Toulouse,27,34.0,54,3,0,441,415,46,580,281,364,4,2,3,1531,426,443,49.0
