Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Lille,19,10,7,2,28,11,17,37,1.95,25.7,11.9,13.7,0.72,19,14,4,1,36,12,24,46,2.42,22.8,17.9,4.9,0.26
2,Paris S-G,19,13,1,5,44,14,30,40,2.11,41.6,19.4,22.2,1.17,19,13,3,3,42,14,28,42,2.21,38.5,21.2,17.3,0.91
3,Monaco,19,12,5,2,43,21,22,41,2.16,40.6,16.4,24.3,1.28,19,12,1,6,33,21,12,37,1.95,28.1,18.3,9.8,0.52
4,Lyon,19,11,3,5,42,23,19,36,1.89,46.9,21.5,25.3,1.33,19,11,7,1,39,20,19,40,2.11,34.6,19.9,14.6,0.77
5,Marseille,19,10,5,4,32,23,9,35,1.84,26.8,19.8,7.1,0.37,19,6,7,6,22,24,-2,25,1.32,20.2,27.6,-7.4,-0.39
6,Rennes,19,9,4,6,26,21,5,31,1.63,23.6,17.7,5.9,0.31,19,7,6,6,26,19,7,27,1.42,24.2,20.4,3.8,0.2
7,Lens,19,7,7,5,28,26,2,28,1.47,27.9,23.8,4.1,0.22,19,8,5,6,27,28,-1,29,1.53,28.5,23.0,5.5,0.29
8,Montpellier,19,7,4,8,34,35,-1,25,1.32,31.6,33.9,-2.3,-0.12,19,7,8,4,26,27,-1,29,1.53,20.2,32.2,-12.0,-0.63
9,Nice,19,7,3,9,25,30,-5,24,1.26,24.7,31.6,-6.9,-0.37,19,8,4,7,25,23,2,28,1.47,23.3,24.0,-0.7,-0.04
10,Metz,19,5,5,9,19,26,-7,20,1.05,21.7,24.4,-2.7,-0.14,19,7,6,6,25,22,3,27,1.42,22.3,24.8,-2.5,-0.13
11,Saint-Étienne,19,5,6,8,20,29,-9,21,1.11,25.6,25.4,0.2,0.01,19,7,4,8,22,25,-3,25,1.32,23.1,24.7,-1.6,-0.08
12,Bordeaux,19,7,4,8,19,21,-2,25,1.32,22.4,23.2,-0.9,-0.05,19,6,2,11,23,35,-12,20,1.05,21.1,31.6,-10.5,-0.55
13,Angers,19,6,3,10,20,27,-7,21,1.11,19.7,26.0,-6.3,-0.33,19,6,5,8,20,31,-11,23,1.21,21.9,26.3,-4.3,-0.23
14,Reims,19,4,8,7,16,21,-5,20,1.05,15.0,28.2,-13.2,-0.7,19,5,7,7,26,29,-3,22,1.16,17.7,30.8,-13.0,-0.69
15,Strasbourg,19,4,5,10,21,29,-8,17,0.89,27.6,24.7,2.9,0.15,19,7,4,8,28,29,-1,25,1.32,25.2,26.0,-0.8,-0.04
16,Lorient,19,10,2,7,31,29,2,32,1.68,25.6,21.1,4.5,0.24,19,1,7,11,19,39,-20,10,0.53,23.0,31.5,-8.5,-0.45
17,Brest,19,8,4,7,32,33,-1,28,1.47,28.5,28.3,0.2,0.01,19,3,4,12,18,33,-15,13,0.68,21.5,29.8,-8.3,-0.44
18,Nantes,20,3,8,9,21,30,-9,17,0.85,25.2,25.3,-0.1,-0.01,20,7,5,8,28,27,1,26,1.3,23.8,28.4,-4.6,-0.24
19,Nîmes,19,3,5,11,22,39,-17,14,0.74,21.2,28.9,-7.8,-0.41,19,6,3,10,18,32,-14,21,1.11,22.2,35.3,-13.1,-0.69
20,Dijon,19,1,6,12,8,31,-23,9,0.47,16.1,28.2,-12.1,-0.64,19,3,3,13,17,42,-25,12,0.63,17.6,44.3,-26.7,-1.41
