Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Atalanta,27,38.0,46,447,150,33.6,11.76,3.95,0.1,0.29,19.4,19,3,3,41.4,39.2,0.09,4.6,3.8
vs Bologna,27,38.0,46,474,156,32.9,12.47,4.11,0.08,0.25,17.7,14,7,9,48.7,41.7,0.09,-2.7,-2.7
vs Cremonese,33,38.0,68,576,220,38.2,15.16,5.79,0.11,0.29,17.2,22,5,5,66.1,62.2,0.11,1.9,0.8
vs Empoli,32,38.0,48,607,154,25.4,15.97,4.05,0.07,0.29,17.2,21,4,6,58.3,53.7,0.09,-10.3,-9.7
vs Fiorentina,30,38.0,41,338,112,33.1,8.89,2.95,0.1,0.3,16.4,8,7,8,43.4,37.4,0.11,-2.4,-3.4
vs Hellas Verona,36,38.0,56,539,183,34.0,14.18,4.82,0.1,0.3,18.4,18,1,2,49.9,48.4,0.09,6.1,6.6
vs Inter,25,38.0,39,423,134,31.7,11.13,3.53,0.09,0.27,18.0,22,3,3,36.5,34.1,0.08,2.5,1.9
vs Juventus,29,38.0,33,461,128,27.8,12.13,3.37,0.06,0.23,19.4,16,4,5,41.6,37.7,0.08,-8.6,-8.7
vs Lazio,24,38.0,29,463,127,27.4,12.18,3.34,0.06,0.22,17.9,7,1,2,41.3,39.8,0.09,-12.3,-11.8
vs Lecce,29,38.0,43,442,150,33.9,11.63,3.95,0.09,0.25,18.4,22,5,6,42.4,38.0,0.09,0.6,0.0
vs Milan,30,38.0,42,401,118,29.4,10.55,3.11,0.09,0.32,18.4,16,4,5,41.1,37.2,0.1,0.9,0.8
vs Monza,31,38.0,51,484,169,34.9,12.74,4.45,0.1,0.28,16.8,13,3,3,51.3,49.0,0.1,-0.3,-1.0
vs Napoli,27,38.0,28,363,105,28.9,9.55,2.76,0.07,0.26,18.3,9,1,2,31.8,30.2,0.08,-3.8,-3.2
vs Roma,30,38.0,37,393,115,29.3,10.34,3.03,0.09,0.3,20.3,27,2,3,32.3,30.0,0.08,4.7,5.0
vs Salernitana,30,38.0,62,583,185,31.7,15.34,4.87,0.09,0.3,17.1,15,7,11,67.1,58.0,0.1,-5.1,-3.0
vs Sampdoria,40,38.0,69,591,205,34.7,15.55,5.39,0.1,0.3,16.9,23,8,11,66.3,57.9,0.1,2.7,3.1
vs Sassuolo,31,38.0,59,479,126,26.3,12.61,3.32,0.11,0.44,17.0,16,4,4,49.7,47.1,0.1,9.3,7.9
vs Spezia,34,38.0,59,592,177,29.9,15.58,4.66,0.09,0.31,17.7,13,5,7,59.5,54.0,0.09,-0.5,0.0
vs Torino,28,38.0,41,427,131,30.7,11.24,3.45,0.08,0.27,18.8,15,5,6,40.0,35.3,0.08,1.0,0.7
vs Udinese,30,38.0,46,460,131,28.5,12.11,3.45,0.09,0.31,17.2,23,6,7,51.8,46.7,0.1,-5.8,-6.7
