Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Angers,1,38,38,3420,38.0,58,1.53,139,82,63.3,12,8,18,9,23.7,8,7,1,0,12.5
Bordeaux,1,38,38,3420,38.0,56,1.47,156,100,68.6,13,6,19,14,36.8,8,7,1,0,12.5
Brest,2,38,38,3420,38.0,66,1.74,180,115,68.3,11,8,19,7,18.4,11,9,1,1,10.0
Dijon,3,38,38,3420,38.0,73,1.92,190,117,65.3,4,9,25,6,15.8,10,7,2,1,22.2
Lens,2,38,38,3420,38.0,54,1.42,143,92,69.9,15,12,11,8,21.1,11,11,0,0,0.0
Lille,1,38,38,3420,38.0,23,0.61,107,85,79.4,24,11,3,21,55.3,2,1,1,0,50.0
Lorient,2,38,38,3420,38.0,68,1.79,167,100,65.3,11,9,18,5,13.2,11,10,0,1,0.0
Lyon,1,38,38,3420,38.0,43,1.13,134,92,71.6,22,10,6,11,28.9,7,5,1,1,16.7
Marseille,2,38,38,3420,38.0,47,1.24,132,86,66.7,16,12,10,8,21.1,3,3,0,0,0.0
Metz,2,38,38,3419,38.0,48,1.26,150,102,76.0,12,11,15,8,21.1,13,12,1,0,7.7
Monaco,3,38,38,3420,38.0,42,1.11,103,62,64.1,24,6,8,15,39.5,5,5,0,0,0.0
Montpellier,2,38,38,3418,38.0,62,1.63,197,137,74.6,14,12,12,5,13.2,12,12,0,0,0.0
Nantes,1,38,38,3420,38.0,55,1.45,168,113,73.2,9,13,16,5,13.2,12,10,1,1,9.1
Nice,1,38,38,3420,38.0,53,1.39,176,123,73.9,15,7,16,9,23.7,7,7,0,0,0.0
Nîmes,1,38,38,3420,38.0,71,1.87,196,122,66.8,9,8,21,8,21.1,10,6,3,1,33.3
Paris S-G,3,38,38,3420,38.0,28,0.74,131,103,79.4,26,4,8,19,50.0,2,1,1,0,50.0
Reims,2,38,38,3420,38.0,50,1.32,168,117,73.2,9,15,14,10,26.3,8,5,2,1,28.6
Rennes,3,38,38,3420,38.0,40,1.05,131,92,71.8,16,10,12,10,26.3,4,3,0,1,0.0
Saint-Étienne,3,38,38,3420,38.0,54,1.42,132,79,63.6,12,10,16,12,31.6,9,6,1,2,14.3
Strasbourg,3,38,38,3420,38.0,58,1.53,149,91,65.1,11,9,18,10,26.3,8,6,1,1,14.3
