Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Augsburg,1,6,6,540,6.0,11,1.83,25,14,56.0,4,0,2,0,0.0,0,0,0,0,
vs Bayern Munich,1,6,6,540,6.0,25,4.17,56,31,62.5,0,0,6,0,0.0,4,4,0,0,0.0
vs Dortmund,1,6,6,538,6.0,12,2.01,32,19,62.5,0,2,4,0,0.0,1,0,1,0,100.0
vs Eint Frankfurt,2,6,6,540,6.0,17,2.83,31,14,48.4,3,0,3,1,16.7,1,1,0,0,0.0
vs Freiburg,1,6,6,540,6.0,9,1.5,19,11,68.4,2,2,2,1,16.7,3,3,0,0,0.0
vs Gladbach,1,7,7,630,7.0,6,0.86,34,28,82.4,4,3,0,4,57.1,0,0,0,0,
vs Hamburger SV,1,6,6,540,6.0,6,1.0,29,23,79.3,2,2,2,4,66.7,0,0,0,0,
vs Heidenheim,1,6,6,540,6.0,4,0.67,19,15,78.9,5,0,1,3,50.0,0,0,0,0,
vs Hoffenheim,1,6,6,540,6.0,9,1.5,29,20,75.9,3,1,2,1,16.7,2,2,0,0,0.0
vs Köln,1,6,6,540,6.0,11,1.83,26,15,57.7,2,1,3,0,0.0,0,0,0,0,
vs Leverkusen,1,6,6,540,6.0,12,2.0,28,16,64.3,1,2,3,0,0.0,2,2,0,0,0.0
vs Mainz 05,2,6,6,540,6.0,5,0.83,17,12,76.5,4,1,1,4,66.7,1,1,0,0,0.0
vs RB Leipzig,1,6,6,540,6.0,8,1.33,26,18,69.2,1,1,4,1,16.7,1,0,0,1,
vs St. Pauli,1,6,6,540,6.0,8,1.33,30,21,76.7,3,1,2,2,33.3,2,1,1,0,50.0
vs Stuttgart,1,6,6,540,6.0,8,1.33,32,23,78.1,2,0,4,0,0.0,2,1,1,0,50.0
vs Union Berlin,1,7,7,630,7.0,11,1.57,26,14,57.7,3,1,3,3,42.9,1,0,1,0,100.0
vs Werder Bremen,2,6,6,540,6.0,9,1.5,30,20,76.7,3,1,2,2,33.3,3,2,1,0,33.3
vs Wolfsburg,1,6,6,540,6.0,8,1.33,22,14,68.2,3,2,1,2,33.3,1,1,0,0,0.0
