Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
vs Atalanta,32,26.2,38,3420,90,100,38.0,418,79,242,175,22,289,0.84,37,78,-41,-1.08,38.6,65.0,-26.4,-0.69
vs Bologna,30,26.3,38,3420,90,100,38.0,418,80,240,178,21,286,1.0,47,57,-10,-0.26,36.7,49.3,-12.6,-0.33
vs Cagliari,28,26.4,38,3420,90,100,38.0,418,80,235,181,21,284,1.82,56,40,16,0.42,55.3,42.7,12.6,0.33
vs Como,38,26.3,38,3420,90,100,38.0,418,81,233,183,23,286,1.45,52,49,3,0.08,43.0,45.4,-2.4,-0.06
vs Empoli,34,26.5,38,3420,90,100,38.0,418,82,240,175,23,306,1.84,59,33,26,0.68,50.1,32.5,17.6,0.46
vs Fiorentina,34,26.4,38,3420,90,100,38.0,418,81,242,173,22,283,1.08,41,60,-19,-0.5,42.8,48.9,-6.1,-0.16
vs Genoa,37,26.3,38,3420,90,100,38.0,418,81,243,175,21,292,1.53,49,37,12,0.32,47.2,37.2,10.0,0.26
vs Hellas Verona,32,26.2,38,3420,90,100,38.0,418,80,237,180,20,277,1.84,66,34,32,0.84,53.4,33.8,19.6,0.51
vs Inter,26,26.2,38,3420,90,100,38.0,418,80,240,173,23,280,0.63,35,79,-44,-1.16,36.4,66.9,-30.5,-0.8
vs Juventus,29,26.4,38,3420,90,100,38.0,418,82,240,180,21,287,0.74,35,58,-23,-0.61,34.0,51.0,-16.9,-0.45
vs Lazio,27,26.2,38,3420,90,100,38.0,418,80,233,176,21,293,1.0,49,61,-12,-0.32,37.7,57.2,-19.5,-0.51
vs Lecce,31,26.4,38,3420,90,100,38.0,418,80,236,179,22,284,1.84,58,27,31,0.82,57.1,34.6,22.5,0.59
vs Milan,35,26.4,38,3420,90,100,38.0,418,81,237,180,19,289,1.11,43,61,-18,-0.47,41.3,63.7,-22.4,-0.59
vs Monza,36,26.2,38,3420,90,100,38.0,418,81,244,175,21,298,2.29,69,28,41,1.08,54.7,29.9,24.8,0.65
vs Napoli,27,26.0,38,3420,90,100,38.0,418,85,241,176,20,298,0.58,27,59,-32,-0.84,29.6,52.9,-23.3,-0.61
vs Parma,32,26.4,38,3420,90,100,38.0,418,78,245,170,20,296,1.66,58,44,14,0.37,56.4,43.1,13.3,0.35
vs Roma,28,26.3,38,3420,90,100,38.0,418,81,239,175,24,294,0.95,35,56,-21,-0.55,40.9,53.0,-12.1,-0.32
vs Torino,31,26.3,38,3420,90,100,38.0,418,80,251,167,20,303,1.47,45,39,6,0.16,50.4,34.6,15.8,0.42
vs Udinese,31,26.5,38,3420,90,100,38.0,418,80,236,180,20,280,1.63,56,41,15,0.39,52.6,38.2,14.4,0.38
vs Venezia,36,26.4,38,3420,90,100,38.0,418,81,239,177,20,296,1.87,56,32,24,0.63,57.5,35.8,21.7,0.57
