Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Augsburg,29,34.0,19055,17433,1565,386,62,100,712,667,172,85,49,4,15484,57,345
vs Bayern Munich,29,34.0,12083,10634,1405,345,24,49,334,513,88,48,32,1,9140,44,278
vs Bochum,27,34.0,17796,16058,1675,500,55,88,595,675,185,88,58,6,14057,63,368
vs Dortmund,28,34.0,14210,12657,1460,353,44,74,551,593,134,62,45,0,10934,93,313
vs Eint Frankfurt,26,34.0,17664,15994,1571,377,67,73,677,642,172,67,75,2,14160,99,335
vs Freiburg,26,34.0,17514,16046,1425,356,35,83,604,624,147,80,43,0,14111,43,328
vs Gladbach,26,34.0,17850,16292,1501,378,48,67,750,650,180,89,55,0,14473,57,325
vs Heidenheim,27,34.0,19390,17744,1614,414,69,66,634,711,166,85,63,1,15818,32,382
vs Hoffenheim,35,34.0,17470,15827,1602,437,66,99,626,651,189,74,72,1,14007,41,342
vs Holstein Kiel,27,34.0,18342,16528,1752,432,53,86,852,795,224,115,67,0,14775,62,305
vs Leverkusen,23,34.0,14768,13319,1386,368,39,63,443,533,116,61,45,1,11597,63,255
vs Mainz 05,25,34.0,16234,14482,1703,469,48,58,656,691,173,84,72,0,12368,49,314
vs RB Leipzig,29,34.0,16691,15060,1563,440,50,76,660,633,187,83,69,0,13082,68,394
vs St. Pauli,28,34.0,19511,17842,1595,396,58,86,562,732,154,90,38,0,16017,74,349
vs Stuttgart,29,34.0,14746,13145,1519,402,50,54,531,602,161,89,50,0,11408,82,331
vs Union Berlin,28,34.0,20253,18532,1679,466,47,78,723,717,167,69,61,3,16465,42,352
vs Werder Bremen,23,34.0,17808,16227,1509,375,64,50,593,634,162,84,50,2,14300,72,348
vs Wolfsburg,27,34.0,17731,16046,1617,373,42,72,646,719,178,81,57,6,14240,68,340
