Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Almería,29,38.0,956,25.16,739,78,44,39,44,12,110,2.89,84,7,7,5,6,1
vs Athletic Club,26,38.0,675,17.76,470,65,42,42,41,15,69,1.82,45,3,7,5,6,3
vs Atlético Madrid,27,38.0,781,20.55,585,60,49,41,38,8,58,1.53,43,4,1,7,3,0
vs Barcelona,29,38.0,560,14.74,410,51,26,37,20,16,25,0.66,17,1,1,3,3,0
vs Betis,30,38.0,807,21.24,559,92,54,44,47,11,69,1.82,51,4,4,6,3,1
vs Cádiz,38,38.0,973,25.61,687,86,56,61,62,21,92,2.42,63,6,6,9,8,0
vs Celta Vigo,26,38.0,669,17.61,462,74,43,36,43,11,89,2.34,59,8,8,9,5,0
vs Elche,32,38.0,984,25.89,712,85,58,69,46,14,115,3.03,85,4,9,10,6,1
vs Espanyol,33,38.0,987,25.97,769,70,53,43,41,11,119,3.13,92,4,5,8,8,2
vs Getafe,25,38.0,849,22.34,653,62,47,42,39,6,68,1.79,47,7,5,7,2,0
vs Girona,29,38.0,870,22.89,651,68,52,40,38,21,94,2.47,69,5,8,3,7,2
vs Mallorca,31,38.0,907,23.87,689,82,44,40,43,9,75,1.97,51,4,7,7,5,1
vs Osasuna,26,38.0,804,21.16,601,76,49,34,37,7,71,1.87,57,3,3,5,3,0
vs Rayo Vallecano,28,38.0,759,19.97,537,77,46,47,39,13,78,2.05,48,11,4,9,3,3
vs Real Madrid,26,38.0,720,18.95,516,69,49,44,27,15,50,1.32,32,3,2,10,3,0
vs Real Sociedad,30,38.0,705,18.55,515,60,45,35,38,12,55,1.45,41,2,5,3,3,1
vs Sevilla,35,38.0,893,23.5,655,85,42,52,46,13,87,2.29,68,3,5,8,2,1
vs Valencia,28,38.0,683,17.97,458,88,45,43,41,8,78,2.05,53,8,6,5,4,2
vs Valladolid,36,38.0,1034,27.21,756,101,68,56,44,9,110,2.89,76,8,11,7,7,1
vs Villarreal,32,38.0,808,21.26,579,64,49,49,41,26,71,1.87,42,8,8,5,5,3
