Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Arsenal,1,38,38,3420,38.0,34,0.89,120,86,74.2,20,14,4,13,34.2,3,3,0,0,0.0
Aston Villa,2,38,38,3420,38.0,51,1.34,156,104,68.6,19,9,10,9,23.7,3,2,1,0,33.3
Bournemouth,3,38,38,3420,38.0,46,1.21,172,126,75.6,15,11,12,9,23.7,4,4,0,0,0.0
Brentford,2,38,38,3420,38.0,57,1.5,207,153,72.9,16,8,14,8,21.1,1,1,0,0,0.0
Brighton,2,38,38,3420,38.0,59,1.55,147,90,66.0,16,13,9,8,21.1,9,9,0,0,0.0
Chelsea,2,38,38,3420,38.0,43,1.13,155,111,75.5,20,9,9,11,28.9,6,5,1,0,16.7
Crystal Palace,1,38,38,3420,38.0,51,1.34,150,101,66.7,13,14,11,11,28.9,2,1,1,0,50.0
Everton,1,38,38,3420,38.0,44,1.16,163,117,73.0,11,15,12,12,31.6,2,0,2,0,100.0
Fulham,1,38,38,3420,38.0,54,1.42,159,106,67.9,15,9,14,5,13.2,4,3,1,0,25.0
Ipswich Town,3,38,38,3420,38.0,82,2.16,210,130,63.8,4,10,24,2,5.3,6,6,0,0,0.0
Leicester City,3,38,38,3420,38.0,80,2.11,209,131,63.2,6,7,25,3,7.9,4,3,1,0,25.0
Liverpool,3,38,38,3420,38.0,41,1.08,138,98,71.0,25,9,4,14,36.8,2,1,1,0,50.0
Manchester City,2,38,38,3420,38.0,44,1.16,128,86,68.8,21,8,9,13,34.2,4,4,0,0,0.0
Manchester Utd,2,38,38,3420,38.0,54,1.42,149,96,65.8,11,9,18,10,26.3,4,3,1,0,25.0
Newcastle Utd,2,38,38,3420,38.0,47,1.24,161,115,71.4,20,6,12,13,34.2,2,1,1,0,50.0
Nott'ham Forest,1,38,38,3420,38.0,46,1.21,165,119,73.9,19,8,11,13,34.2,3,3,0,0,0.0
Southampton,3,38,38,3420,38.0,86,2.26,245,157,67.8,2,6,30,3,7.9,9,7,2,0,22.2
Tottenham,4,38,38,3420,38.0,65,1.71,180,119,65.6,11,5,22,6,15.8,3,3,0,0,0.0
West Ham,2,38,38,3420,38.0,62,1.63,186,127,68.3,11,10,17,7,18.4,3,3,0,0,0.0
Wolves,4,38,38,3420,38.0,69,1.82,168,100,63.1,12,6,20,8,21.1,9,7,2,0,22.2
