Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Arminia,2,34,34,3060,34.0,27,0.79,111,85,77.5,16,13,5,13,38.2,2,2,0,0,0.0
vs Augsburg,1,34,34,3060,34.0,39,1.15,122,83,72.1,16,8,10,9,26.5,5,5,0,0,0.0
vs Bayern Munich,3,34,34,3060,34.0,97,2.85,260,168,64.6,5,5,24,0,0.0,5,5,0,0,0.0
vs Bochum,2,34,34,3060,34.0,38,1.12,141,103,75.9,16,6,12,13,38.2,6,4,1,1,20.0
vs Dortmund,3,34,34,3060,34.0,85,2.5,176,95,58.0,9,3,22,1,2.9,11,11,0,0,0.0
vs Eint Frankfurt,3,34,34,3060,34.0,45,1.32,138,94,68.1,12,12,10,10,29.4,2,1,1,0,50.0
vs Freiburg,2,34,34,3060,34.0,58,1.71,159,103,66.7,9,10,15,6,17.6,6,5,1,0,16.7
vs Gladbach,2,34,34,3060,34.0,54,1.59,181,125,72.9,13,9,12,5,14.7,7,5,2,0,28.6
vs Greuther Fürth,3,34,34,3060,34.0,28,0.82,101,75,77.2,22,9,3,11,32.4,5,5,0,0,0.0
vs Hertha BSC,2,34,34,3060,34.0,37,1.09,122,87,72.1,19,6,9,8,23.5,3,3,0,0,0.0
vs Hoffenheim,2,34,34,3060,34.0,58,1.71,150,95,61.3,14,7,13,8,23.5,0,0,0,0,
vs Köln,2,34,34,3060,34.0,52,1.53,150,98,66.0,10,10,14,7,20.6,1,1,0,0,0.0
vs Leverkusen,3,34,34,3060,34.0,80,2.35,189,110,58.7,8,7,19,4,11.8,6,2,3,1,60.0
vs Mainz 05,2,34,34,3060,34.0,50,1.47,155,106,70.3,14,7,13,7,20.6,4,4,0,0,0.0
vs RB Leipzig,3,34,34,3060,34.0,72,2.12,177,105,63.8,10,7,17,5,14.7,9,8,0,1,0.0
vs Stuttgart,2,34,34,3060,34.0,41,1.21,155,114,74.2,15,12,7,11,32.4,3,1,1,1,50.0
vs Union Berlin,2,34,34,3060,34.0,50,1.47,154,104,70.8,9,9,16,8,23.5,5,5,0,0,0.0
vs Wolfsburg,2,34,34,3060,34.0,43,1.26,141,98,71.6,16,6,12,10,29.4,4,3,1,0,25.0
