Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Augsburg,29,34.0,50,3,2,378,331,57,712,270,357,2,2,0,1450,491,529,48.1
vs Bayern Munich,29,34.0,65,2,2,357,283,44,334,404,353,1,10,3,1315,344,418,45.1
vs Bochum,27,34.0,44,4,0,302,448,63,595,300,308,5,3,0,1462,665,744,47.2
vs Dortmund,28,34.0,65,5,2,357,321,93,551,312,374,4,6,2,1424,418,474,46.9
vs Eint Frankfurt,26,34.0,58,3,0,324,329,99,677,264,323,3,5,0,1479,437,467,48.3
vs Freiburg,26,34.0,59,2,0,345,296,43,604,260,298,2,4,3,1404,608,596,50.5
vs Gladbach,26,34.0,46,1,1,338,328,57,750,302,303,6,5,2,1462,473,530,47.2
vs Heidenheim,27,34.0,78,2,1,405,371,32,634,243,303,5,5,0,1527,646,553,53.9
vs Hoffenheim,35,34.0,48,3,3,385,376,41,626,273,321,4,3,0,1427,588,577,50.5
vs Holstein Kiel,27,34.0,74,2,1,370,390,62,852,237,258,5,5,0,1388,607,546,52.6
vs Leverkusen,23,34.0,68,1,0,368,314,63,443,352,313,4,6,2,1379,419,463,47.5
vs Mainz 05,25,34.0,83,6,2,349,399,49,656,303,349,5,4,2,1452,697,618,53.0
vs RB Leipzig,29,34.0,73,1,0,344,351,68,660,298,329,3,4,2,1543,439,480,47.8
vs St. Pauli,28,34.0,75,1,0,367,336,74,562,244,275,4,2,2,1351,656,533,55.2
vs Stuttgart,29,34.0,96,7,6,428,343,82,531,303,347,2,6,3,1435,448,468,48.9
vs Union Berlin,28,34.0,57,2,1,325,400,42,723,250,289,5,3,0,1322,676,656,50.8
vs Werder Bremen,23,34.0,81,8,5,423,318,72,593,317,306,2,5,1,1573,470,473,49.8
vs Wolfsburg,27,34.0,67,2,1,379,335,68,646,309,289,2,5,3,1389,562,519,52.0
