Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Augsburg,29,34.0,78,5,2,351,373,59,578,341,300,2,5,2,1441,529,491,51.9
Bayern Munich,29,34.0,48,1,0,295,341,56,612,232,300,6,2,0,1665,418,344,54.9
Bochum,27,34.0,71,2,1,465,293,63,679,294,360,3,6,0,1447,744,665,52.8
Dortmund,28,34.0,71,6,3,330,343,43,698,249,319,5,4,1,1480,474,418,53.1
Eint Frankfurt,26,34.0,55,1,1,341,304,57,539,287,341,2,3,2,1486,467,437,51.7
Freiburg,26,34.0,54,2,1,316,325,61,589,276,317,3,4,1,1368,596,608,49.5
Gladbach,26,34.0,53,3,2,339,326,65,617,317,284,5,8,2,1308,530,473,52.8
Heidenheim,27,34.0,66,1,0,385,390,50,581,312,356,3,6,0,1420,553,646,46.1
Hoffenheim,35,34.0,66,2,0,391,366,70,732,291,336,2,6,3,1466,577,588,49.5
Holstein Kiel,27,34.0,77,4,2,407,350,44,482,294,328,4,7,3,1267,546,607,47.4
Leverkusen,23,34.0,62,1,1,325,352,64,735,234,259,5,4,4,1463,463,419,52.5
Mainz 05,25,34.0,71,5,3,408,329,78,658,352,325,3,5,0,1545,618,697,47.0
RB Leipzig,29,34.0,68,5,2,376,333,83,563,268,333,4,3,0,1533,480,439,52.2
St. Pauli,28,34.0,53,4,3,353,352,66,600,257,315,2,5,1,1350,533,656,44.8
Stuttgart,29,34.0,72,5,3,358,411,62,637,298,282,4,3,1,1378,468,448,51.1
Union Berlin,28,34.0,72,1,0,419,313,67,608,312,318,3,6,1,1368,656,676,49.2
Werder Bremen,23,34.0,75,4,3,335,402,72,667,315,321,4,3,3,1453,473,470,50.2
Wolfsburg,27,34.0,75,3,0,350,366,49,574,312,301,4,3,1,1344,519,562,48.0
