Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Alavés,30,38.0,57,395,139,35.2,10.39,3.66,0.14,0.39,17.1,16,3,3,49.9,47.5,0.12,7.1,6.5
vs Athletic Club,27,38.0,41,370,105,28.4,9.74,2.76,0.1,0.34,18.8,15,5,6,37.5,32.9,0.09,3.5,3.1
vs Atlético Madrid,25,38.0,22,357,119,33.3,9.39,3.13,0.06,0.18,18.6,14,1,4,37.1,34.0,0.1,-15.1,-13.0
vs Barcelona,25,38.0,36,323,125,38.7,8.5,3.29,0.1,0.25,17.4,14,5,5,40.8,36.9,0.12,-4.8,-5.9
vs Betis,25,38.0,47,356,126,35.4,9.37,3.32,0.11,0.31,17.7,17,8,10,46.8,39.2,0.11,0.2,-0.2
vs Cádiz,34,38.0,57,439,140,31.9,11.55,3.68,0.11,0.34,18.0,19,9,10,55.4,47.6,0.11,1.6,0.4
vs Celta Vigo,30,38.0,56,406,130,32.0,10.68,3.42,0.12,0.38,17.9,23,7,8,51.0,45.0,0.12,5.0,4.0
vs Eibar,30,38.0,52,345,131,38.0,9.08,3.45,0.14,0.37,17.2,12,3,5,45.7,41.7,0.13,6.3,7.3
vs Elche,30,38.0,54,464,154,33.2,12.21,4.05,0.1,0.31,17.7,20,6,10,60.9,53.2,0.12,-6.9,-5.2
vs Getafe,31,38.0,40,312,103,33.0,8.21,2.71,0.11,0.32,18.4,13,7,8,40.3,34.0,0.11,-0.3,-1.0
vs Granada,34,38.0,64,468,159,34.0,12.32,4.18,0.12,0.36,17.4,15,6,12,56.2,46.8,0.1,7.8,11.2
vs Huesca,27,38.0,51,416,144,34.6,10.95,3.79,0.11,0.32,17.8,22,5,5,48.1,44.3,0.11,2.9,1.7
vs Levante,29,38.0,55,460,160,34.8,12.11,4.21,0.11,0.33,17.0,17,3,4,53.5,50.6,0.11,1.5,1.4
vs Osasuna,28,38.0,46,421,135,32.1,11.08,3.55,0.1,0.3,18.1,18,5,8,47.8,41.5,0.1,-1.8,-0.5
vs Real Madrid,30,38.0,27,349,108,30.9,9.18,2.84,0.06,0.19,18.4,16,7,8,37.6,31.3,0.09,-10.6,-11.3
vs Real Sociedad,30,38.0,37,332,101,30.4,8.74,2.66,0.1,0.34,17.4,16,3,5,39.2,35.3,0.11,-2.2,-1.3
vs Sevilla,26,38.0,31,344,114,33.1,9.05,3.0,0.08,0.24,19.0,15,4,6,34.8,30.1,0.09,-3.8,-3.1
vs Valencia,30,38.0,51,539,167,31.0,14.18,4.39,0.09,0.28,17.8,27,5,8,52.2,46.2,0.09,-1.2,-0.2
vs Valladolid,32,38.0,57,465,155,33.3,12.24,4.08,0.11,0.33,17.8,23,6,7,52.9,47.4,0.1,4.1,3.6
vs Villarreal,29,38.0,42,400,118,29.5,10.53,3.11,0.09,0.3,18.4,17,7,9,42.5,35.6,0.09,-0.5,-0.6
