Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs Atalanta,22,46.5,6.0,3353,398,1070,1470,850,120,3352,100,43,43.0,44,44.0,1708,9212,4641,95,67,27,100,52,2103,193
vs Bologna,24,43.2,6.0,2826,398,1112,1206,541,108,2826,92,35,38.0,45,48.9,1382,7071,3213,75,48,28,102,42,1615,128
vs Cagliari,23,57.0,6.0,3679,275,920,1819,971,160,3679,105,46,43.8,47,44.8,2012,10769,5780,120,64,27,78,47,2477,249
vs Como,21,42.3,6.0,2968,403,1217,1207,584,109,2968,112,53,47.3,44,39.3,1604,8133,3847,73,55,27,99,63,1760,166
vs Cremonese,25,56.3,6.0,3882,209,852,2077,978,167,3881,87,32,36.8,43,49.4,2356,11191,5604,119,71,28,107,38,2664,264
vs Fiorentina,22,48.8,6.0,3142,376,1134,1349,691,127,3141,86,33,38.4,44,51.2,1577,8539,4309,103,62,31,83,58,1938,174
vs Genoa,22,52.2,6.0,3399,344,1205,1493,730,113,3398,104,29,27.9,60,57.7,1755,8775,3605,68,54,20,93,61,2062,158
vs Hellas Verona,24,59.3,6.0,3902,390,1171,1977,789,102,3901,101,42,41.6,52,51.5,2241,10872,5803,96,80,16,91,59,2653,247
vs Inter,24,38.2,6.0,2846,439,1194,1177,500,71,2845,61,33,54.1,21,34.4,1426,7438,3560,63,44,12,89,55,1711,155
vs Juventus,22,41.7,6.0,3028,373,1054,1298,701,94,3026,63,23,36.5,33,52.4,1475,8193,4346,88,67,16,87,59,1832,150
vs Lazio,23,50.3,6.0,3483,332,1200,1535,784,132,3483,99,43,43.4,41,41.4,2054,10156,4603,103,70,33,82,53,2325,199
vs Lecce,22,57.3,6.0,3585,380,1293,1544,782,138,3583,117,44,37.6,52,44.4,2256,11202,5390,86,63,27,76,46,2361,198
vs Milan,24,49.2,6.0,3516,354,1008,1671,861,93,3515,78,27,34.6,36,46.2,2003,10413,5354,104,77,8,89,39,2499,231
vs Napoli,24,38.2,6.0,2849,419,1113,1266,498,80,2848,80,33,41.3,39,48.8,1546,8020,3817,71,50,17,72,34,1739,119
vs Parma,19,53.5,6.0,3416,415,1248,1413,783,135,3416,101,41,40.6,46,45.5,1643,8115,4004,72,67,27,92,41,2121,199
vs Pisa,24,63.0,6.0,3962,343,1025,1959,1019,178,3962,119,57,47.9,48,40.3,2428,12392,6444,140,99,47,82,72,2742,285
vs Roma,21,40.8,6.0,2893,405,1091,1306,529,64,2893,97,38,39.2,46,47.4,1400,7068,3314,62,40,17,89,45,1557,148
vs Sassuolo,25,56.3,6.0,3728,282,1009,1823,922,132,3727,96,38,39.6,44,45.8,2069,10182,5422,87,76,25,87,50,2569,257
vs Torino,24,55.7,6.0,3696,381,1118,1814,803,132,3694,98,30,30.6,42,42.9,2119,9918,4960,98,60,28,91,40,2536,219
vs Udinese,25,50.2,6.0,3300,374,1236,1362,731,121,3300,103,47,45.6,38,36.9,1682,8557,4266,75,49,26,87,35,2098,194
