Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Alavés,30,38.0,102,7,3,476,451,60,686,233,340,6,7,3,1752,625,574,52.1
vs Almería,35,38.0,72,4,0,509,450,73,828,280,364,6,2,1,1780,587,557,51.3
vs Athletic Club,27,38.0,82,3,2,453,487,91,626,370,428,2,5,2,2051,525,541,49.2
vs Atlético Madrid,27,38.0,79,2,0,471,411,37,764,298,318,1,6,2,1846,392,422,48.2
vs Barcelona,29,38.0,98,8,2,491,401,117,574,318,392,2,7,3,1678,399,453,46.8
vs Betis,35,38.0,97,5,3,521,411,106,712,314,464,7,3,2,1864,500,479,51.1
vs Cádiz,34,38.0,97,4,2,525,550,65,758,243,370,1,3,1,1871,673,632,51.6
vs Celta Vigo,31,38.0,89,4,1,496,445,53,746,335,382,7,5,1,1879,548,522,51.2
vs Getafe,33,38.0,105,10,4,464,623,141,640,261,348,6,7,0,1878,692,657,51.3
vs Girona,25,38.0,104,5,3,495,383,49,711,301,423,5,8,1,1745,390,373,51.1
vs Granada,40,38.0,92,5,1,534,495,108,718,290,344,6,8,3,1884,540,484,52.7
vs Las Palmas,29,38.0,97,5,2,525,378,164,694,335,415,8,5,0,1963,489,395,55.3
vs Mallorca,25,38.0,53,1,0,434,538,36,656,295,318,3,3,0,1802,686,773,47.0
vs Osasuna,29,38.0,92,6,2,420,500,126,694,291,339,1,5,0,1887,655,750,46.6
vs Rayo Vallecano,26,38.0,105,7,3,557,535,87,682,285,408,0,6,0,1934,578,506,53.3
vs Real Madrid,27,38.0,95,0,0,548,354,38,680,296,389,0,5,2,1609,272,329,45.3
vs Real Sociedad,31,38.0,100,6,3,469,570,98,523,278,368,4,4,3,1665,714,759,48.5
vs Sevilla,35,38.0,81,3,1,464,445,78,698,236,347,1,2,2,1720,525,610,46.3
vs Valencia,29,38.0,102,5,0,495,456,86,734,269,379,5,9,1,1898,628,485,56.4
vs Villarreal,32,38.0,91,2,2,486,461,75,886,346,436,3,7,1,1876,357,474,43.0
