Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Brest,25,34.0,837,24.62,590,73,45,59,47,23,85,2.5,55,8,3,10,7,2
Clermont Foot,31,34.0,672,19.76,490,59,30,44,40,9,50,1.47,37,4,0,4,5,0
Le Havre,27,34.0,693,20.38,482,69,44,38,47,13,63,1.85,40,3,7,4,8,1
Lens,27,34.0,857,25.21,648,68,38,53,36,14,74,2.18,54,5,3,7,4,1
Lille,28,34.0,773,22.74,529,71,58,47,51,17,81,2.38,46,8,8,12,6,1
Lorient,38,34.0,641,18.85,473,54,32,36,32,14,63,1.85,46,1,2,11,2,1
Lyon,35,34.0,764,22.47,533,62,58,64,35,12,84,2.47,56,3,8,12,5,0
Marseille,33,34.0,851,25.03,626,68,48,51,49,9,88,2.59,66,3,2,12,5,0
Metz,30,34.0,570,16.76,372,60,38,42,41,17,60,1.76,41,4,6,5,3,1
Monaco,30,34.0,884,26.0,650,73,38,65,32,26,107,3.15,81,4,6,10,4,2
Montpellier,31,34.0,748,22.0,503,76,45,51,57,16,66,1.94,44,5,6,7,4,0
Nantes,35,34.0,665,19.56,505,37,35,44,32,12,48,1.41,32,4,1,4,6,1
Nice,27,34.0,791,23.26,571,66,53,49,35,17,69,2.03,48,5,5,3,7,1
Paris S-G,29,34.0,943,27.74,743,44,76,32,35,13,145,4.26,114,4,11,5,10,1
Reims,29,34.0,727,21.38,544,52,51,51,21,8,71,2.09,52,3,7,3,4,2
Rennes,29,34.0,864,25.41,605,67,61,67,47,17,94,2.76,58,1,7,15,11,2
Strasbourg,30,34.0,638,18.76,449,53,52,31,36,17,61,1.79,30,7,7,9,6,2
Toulouse,26,34.0,694,20.41,475,66,40,52,37,24,76,2.24,55,6,1,5,8,1
