Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Atalanta,32,38.0,45,385,134,34.8,10.13,3.53,0.1,0.3,18.4,19,5,6,45.3,40.5,0.11,-0.3,-0.5
vs Bologna,36,38.0,53,531,175,33.0,13.97,4.61,0.08,0.26,18.4,21,8,9,52.6,45.3,0.09,0.4,-0.3
vs Cagliari,33,38.0,67,545,175,32.1,14.34,4.61,0.11,0.34,18.1,20,7,10,61.0,53.2,0.1,6.0,6.8
vs Empoli,28,38.0,64,658,209,31.8,17.32,5.5,0.09,0.28,16.8,13,5,10,66.0,58.4,0.09,-2.0,0.6
vs Fiorentina,28,38.0,49,351,121,34.5,9.24,3.18,0.13,0.38,16.6,7,3,5,40.6,37.1,0.11,8.4,8.9
vs Genoa,40,38.0,58,536,179,33.4,14.11,4.71,0.1,0.3,17.3,20,4,5,54.1,50.1,0.1,3.9,3.9
vs Hellas Verona,31,38.0,57,470,155,33.0,12.37,4.08,0.11,0.35,17.8,20,3,4,49.0,45.7,0.1,8.0,8.3
vs Inter,27,38.0,31,398,123,30.9,10.47,3.24,0.07,0.22,17.5,13,4,4,39.1,36.0,0.09,-8.1,-9.0
vs Juventus,32,38.0,36,438,116,26.5,11.53,3.05,0.07,0.28,19.3,16,4,7,38.1,32.5,0.08,-2.1,-0.5
vs Lazio,27,38.0,57,464,141,30.4,12.21,3.71,0.11,0.37,17.7,13,5,6,47.7,43.0,0.09,9.3,9.0
vs Milan,28,38.0,29,396,120,30.3,10.42,3.16,0.06,0.21,18.4,9,4,5,35.9,32.1,0.08,-6.9,-7.1
vs Napoli,27,38.0,30,418,135,32.3,11.0,3.55,0.07,0.21,18.3,17,1,1,32.5,31.8,0.08,-2.5,-2.8
vs Roma,29,38.0,41,369,140,37.9,9.71,3.68,0.1,0.26,18.5,18,5,6,38.4,33.6,0.09,2.6,2.4
vs Salernitana,42,38.0,76,583,214,36.7,15.34,5.63,0.12,0.33,17.1,25,6,8,65.2,59.1,0.1,10.8,10.9
vs Sampdoria,34,38.0,61,552,181,32.8,14.53,4.76,0.11,0.32,17.0,16,3,4,56.1,53.0,0.1,4.9,5.0
vs Sassuolo,29,38.0,65,523,168,32.1,13.76,4.42,0.11,0.34,15.9,13,8,9,66.4,59.3,0.12,-1.4,-2.3
vs Spezia,30,38.0,68,630,197,31.3,16.58,5.18,0.09,0.29,18.1,24,10,13,64.4,54.4,0.09,3.6,3.6
vs Torino,31,38.0,41,384,113,29.4,10.11,2.97,0.08,0.28,18.7,19,9,11,38.9,30.3,0.08,2.1,1.7
vs Udinese,29,38.0,57,462,157,34.0,12.16,4.13,0.11,0.33,17.4,13,5,7,52.4,47.2,0.11,4.6,4.8
vs Venezia,39,38.0,67,666,217,32.6,17.53,5.71,0.08,0.26,17.5,33,11,12,71.8,63.8,0.1,-4.8,-7.8
