Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Atalanta,32,38.0,674,17.74,508,42,44,38,34,8,75,1.97,52,6,4,7,6,0
vs Bologna,36,38.0,954,25.11,713,72,45,56,52,16,89,2.34,63,4,4,8,9,1
vs Cagliari,33,38.0,940,24.74,675,87,51,64,48,15,114,3.0,81,6,8,9,9,1
vs Empoli,28,38.0,1205,31.71,880,116,50,97,39,23,114,3.0,88,5,5,11,4,1
vs Fiorentina,28,38.0,593,15.61,404,58,37,35,43,16,86,2.26,62,7,5,3,5,4
vs Genoa,40,38.0,934,24.58,676,82,52,66,49,9,98,2.58,70,5,7,11,5,0
vs Hellas Verona,31,38.0,817,21.5,588,82,43,49,48,7,99,2.61,71,9,4,10,5,0
vs Inter,27,38.0,680,17.89,485,53,35,59,32,16,46,1.21,33,1,1,6,4,1
vs Juventus,32,38.0,760,20.0,567,70,29,43,33,18,58,1.53,37,4,2,8,6,1
vs Lazio,27,38.0,806,21.21,585,73,42,53,37,16,101,2.66,72,7,6,7,8,1
vs Milan,28,38.0,675,17.76,490,64,31,48,31,11,45,1.18,29,4,1,7,2,2
vs Napoli,27,38.0,726,19.11,542,60,35,42,37,10,52,1.37,39,3,3,5,2,0
vs Roma,29,38.0,667,17.55,504,46,35,30,44,8,68,1.79,43,5,5,8,7,0
vs Salernitana,42,38.0,1049,27.61,779,86,55,67,48,14,137,3.61,105,8,9,9,5,1
vs Sampdoria,34,38.0,965,25.39,702,81,57,73,44,8,108,2.84,77,4,10,13,4,0
vs Sassuolo,29,38.0,934,24.58,674,95,48,57,39,21,117,3.08,80,12,7,6,9,3
vs Spezia,30,38.0,1133,29.82,826,81,77,75,53,21,116,3.05,83,7,7,9,10,0
vs Torino,31,38.0,683,17.97,467,87,26,38,59,6,72,1.89,49,5,3,4,10,1
vs Udinese,29,38.0,814,21.42,579,69,62,44,45,15,95,2.5,63,4,11,9,6,2
vs Venezia,39,38.0,1184,31.16,831,111,57,106,64,15,110,2.89,72,8,7,17,5,1
