Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Brest,25,34.0,17733,16093,1606,490,25,166,792,696,154,79,67,0,14111,34,336
Clermont Foot,31,34.0,16784,15174,1559,458,51,78,551,581,150,73,52,2,13390,51,277
Le Havre,27,34.0,15121,13517,1552,441,28,54,544,655,128,54,55,0,11739,52,321
Lens,27,34.0,18083,16450,1558,453,49,63,736,638,175,68,87,0,14709,75,344
Lille,28,34.0,19319,17662,1611,578,34,114,533,598,177,71,50,0,16278,46,285
Lorient,38,34.0,16298,14696,1546,459,25,80,565,555,135,57,51,0,13284,56,292
Lyon,35,34.0,17984,16440,1492,413,56,101,560,576,166,72,46,0,14823,52,330
Marseille,33,34.0,18000,16375,1556,451,39,63,713,626,184,42,110,0,14716,69,312
Metz,30,34.0,11986,10324,1617,435,16,110,563,659,133,62,65,0,8816,45,279
Monaco,30,34.0,18346,16702,1571,465,76,72,517,619,183,54,82,0,14825,73,335
Montpellier,31,34.0,14618,12910,1653,489,37,130,601,653,138,35,88,0,11198,55,317
Nantes,35,34.0,15384,13814,1519,397,50,69,627,609,165,72,62,0,12180,51,276
Nice,27,34.0,18379,16875,1452,414,41,43,605,583,184,76,84,1,15511,52,283
Paris S-G,29,34.0,24396,22942,1401,395,73,98,513,540,198,58,60,0,21536,53,331
Reims,29,34.0,16365,14705,1576,392,45,103,618,688,174,65,85,0,12995,84,320
Rennes,29,34.0,17580,16008,1536,483,38,96,554,608,157,57,67,0,14481,36,276
Strasbourg,30,34.0,15031,13463,1533,487,44,65,554,586,117,61,39,2,12021,35,224
Toulouse,26,34.0,16304,14673,1581,476,43,102,526,622,151,53,78,0,13014,50,348
