Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Angers,30,38.0,20089,18169,1826,477,53,221,727,822,178,69,72,0,16296,94,319
vs Bordeaux,39,38.0,19419,17487,1855,482,42,154,703,802,210,90,91,1,15514,77,293
vs Brest,25,38.0,21518,19645,1805,450,53,111,672,795,205,88,88,0,17707,68,302
vs Clermont Foot,28,38.0,19625,17890,1695,424,35,165,592,739,164,76,68,2,15954,40,307
vs Lens,28,38.0,19558,17686,1829,452,42,95,587,817,168,51,71,2,15865,43,287
vs Lille,26,38.0,18332,16397,1898,508,24,152,687,807,186,72,67,2,14511,37,288
vs Lorient,29,38.0,21134,19214,1883,501,29,196,710,843,194,96,69,1,17424,37,322
vs Lyon,30,38.0,16600,14782,1742,471,54,163,611,704,177,78,70,0,12959,76,339
vs Marseille,27,38.0,15309,13621,1578,385,67,140,512,614,155,59,64,1,12190,110,233
vs Metz,36,38.0,21004,18933,2007,536,62,168,780,914,253,108,105,3,17036,64,366
vs Monaco,27,38.0,17624,15744,1830,559,27,187,539,710,151,48,71,1,13722,50,296
vs Montpellier,27,38.0,19274,17407,1825,437,47,186,760,821,203,90,76,0,15556,42,274
vs Nantes,26,38.0,21387,19341,1992,524,32,119,650,903,200,88,78,1,17497,54,319
vs Nice,27,38.0,18844,16936,1839,484,47,182,664,768,168,68,79,0,15122,69,306
vs Paris S-G,36,38.0,15650,14026,1540,427,39,185,549,515,155,65,62,0,12815,84,250
vs Reims,35,38.0,21846,19896,1916,492,25,216,827,869,210,88,70,1,17907,34,362
vs Rennes,28,38.0,16756,14814,1884,470,40,198,691,777,178,68,63,2,13060,58,315
vs Saint-Étienne,39,38.0,19112,17052,1976,481,66,131,575,945,162,70,61,2,15123,84,342
vs Strasbourg,26,38.0,19277,17386,1846,527,34,159,620,722,190,79,78,0,15468,45,328
vs Troyes,35,38.0,21179,19368,1753,459,67,165,692,768,202,66,97,1,17526,58,305
