Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Alavés,33,38.0,19908,17714,2105,567,77,202,789,962,231,50,110,3,15404,89,322
vs Athletic Club,26,38.0,18950,16909,1974,551,29,332,754,859,161,68,54,1,14696,67,340
vs Atlético Madrid,26,38.0,18803,16917,1850,529,32,209,601,729,149,67,64,1,14882,36,316
vs Barcelona,38,38.0,13908,12019,1811,571,39,128,500,644,128,52,52,1,10460,78,301
vs Betis,31,38.0,16934,14870,1935,530,43,168,764,808,215,96,80,2,13052,129,323
vs Cádiz,33,38.0,20783,18843,1877,515,50,183,750,806,176,60,76,3,16729,63,337
vs Celta Vigo,25,38.0,16708,14678,1995,562,22,184,609,925,146,56,57,0,12362,35,394
vs Elche,28,38.0,18212,16269,1839,547,78,195,767,775,195,74,74,0,14329,104,279
vs Espanyol,34,38.0,19314,17461,1767,487,56,190,888,716,223,83,84,1,15516,86,313
vs Getafe,31,38.0,21156,19121,1926,575,58,282,752,846,186,60,87,1,16725,109,365
vs Granada,32,38.0,18856,16832,1955,504,56,176,824,850,205,60,91,2,14611,69,384
vs Levante,31,38.0,18611,16649,1884,598,54,205,697,713,185,58,68,3,14699,78,256
vs Mallorca,33,38.0,18463,16519,1887,590,44,155,738,789,161,69,65,3,14388,57,304
vs Osasuna,29,38.0,19149,17058,2009,543,50,195,719,867,184,56,71,2,14630,82,261
vs Rayo Vallecano,28,38.0,17259,15156,2049,591,54,156,659,867,177,77,70,1,12928,54,358
vs Real Madrid,31,38.0,16452,14707,1715,472,41,171,670,615,153,70,55,0,13258,30,311
vs Real Sociedad,32,38.0,16279,14226,1967,540,36,160,662,914,174,56,66,2,12311,86,320
vs Sevilla,33,38.0,15095,13204,1838,516,30,143,647,749,158,66,61,1,11300,53,272
vs Valencia,34,38.0,17920,15730,2093,655,50,198,679,896,172,68,66,1,13730,97,331
vs Villarreal,29,38.0,15636,13738,1775,533,34,168,749,671,198,76,80,2,11881,123,267
