Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Arsenal,27,38.0,1030,27.11,788,68,57,66,39,12,99,2.61,69,8,4,13,4,1
Aston Villa,31,38.0,837,22.03,608,85,49,41,48,6,93,2.45,65,9,9,7,3,0
Brentford,29,38.0,739,19.45,487,96,37,62,43,14,78,2.05,46,11,4,8,9,0
Brighton,26,38.0,870,22.89,630,84,49,55,40,12,72,1.89,49,8,4,6,4,1
Burnley,23,38.0,674,17.74,455,81,28,50,50,10,60,1.58,39,9,5,3,4,0
Chelsea,26,38.0,1064,28.0,818,62,48,75,49,12,135,3.55,97,9,8,10,9,2
Crystal Palace,24,38.0,711,18.71,500,63,43,46,43,16,81,2.13,53,3,7,8,9,1
Everton,33,38.0,742,19.53,533,69,43,42,45,10,68,1.79,46,4,4,6,8,0
Leeds United,29,38.0,825,21.71,589,68,52,60,42,14,66,1.74,36,2,10,10,5,3
Leicester City,28,38.0,745,19.61,566,41,48,42,33,15,105,2.76,81,3,4,8,5,4
Liverpool,27,38.0,1249,32.87,912,105,63,104,49,16,163,4.29,121,9,9,19,5,0
Manchester City,26,38.0,1286,33.84,997,78,70,88,42,11,158,4.16,112,10,6,19,8,3
Manchester Utd,29,38.0,917,24.13,706,65,56,38,39,13,104,2.74,77,6,6,7,5,3
Newcastle Utd,29,38.0,758,19.95,504,81,61,57,44,11,70,1.84,46,4,5,9,6,0
Norwich City,28,38.0,637,16.76,435,67,41,33,50,11,35,0.92,27,2,1,1,3,1
Southampton,25,38.0,814,21.42,585,68,43,51,49,18,71,1.87,44,5,6,4,9,3
Tottenham,25,38.0,882,23.21,678,51,46,61,37,9,117,3.08,95,3,4,8,6,1
Watford,30,38.0,693,18.24,475,59,48,43,52,16,57,1.5,36,5,4,7,3,2
West Ham,25,38.0,770,20.26,569,68,47,50,28,8,102,2.68,72,10,5,9,5,1
Wolves,26,38.0,692,18.21,496,44,65,37,31,19,58,1.53,37,4,5,8,2,2
