Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
vs Arminia,26,26.3,34,3060,90,100,34.0,374,82,228,146,19,152,1.79,53,27,26,0.76,62.8,26.3,36.6,1.08
vs Augsburg,26,26.4,34,3060,90,100,34.0,374,80,227,147,20,156,1.65,56,39,17,0.5,57.9,36.7,21.2,0.62
vs Bayern Munich,30,26.1,34,3060,90,100,34.0,374,82,221,153,20,150,0.59,37,97,-60,-1.76,36.3,89.0,-52.7,-1.55
vs Bochum,28,26.2,34,3060,90,100,34.0,374,82,232,145,22,155,1.59,52,38,14,0.41,55.8,40.6,15.1,0.44
vs Dortmund,33,26.0,34,3060,90,100,34.0,374,83,226,149,20,146,0.88,52,85,-33,-0.97,46.3,64.0,-17.7,-0.52
vs Eint Frankfurt,27,26.1,34,3060,90,100,34.0,374,82,230,144,19,148,1.41,49,45,4,0.12,47.0,41.6,5.4,0.16
vs Freiburg,26,26.2,34,3060,90,100,34.0,374,83,225,148,20,151,1.09,46,58,-12,-0.35,44.0,50.4,-6.4,-0.19
vs Gladbach,26,26.2,34,3060,90,100,34.0,374,84,225,146,20,153,1.41,61,54,7,0.21,55.0,56.2,-1.2,-0.04
vs Greuther Fürth,29,26.3,34,3060,90,100,34.0,374,83,220,154,20,147,2.21,82,28,54,1.59,60.2,30.0,30.2,0.89
vs Hertha BSC,36,26.2,34,3060,90,100,34.0,374,80,225,149,19,153,1.85,71,37,34,1.0,54.3,33.3,21.0,0.62
vs Hoffenheim,32,26.3,34,3060,90,100,34.0,374,81,222,152,20,150,1.44,60,58,2,0.06,54.6,58.3,-3.7,-0.11
vs Köln,26,26.0,34,3060,90,100,34.0,374,82,234,143,21,159,1.18,49,52,-3,-0.09,50.6,50.1,0.6,0.02
vs Leverkusen,29,26.3,34,3060,90,100,34.0,374,83,219,155,22,146,0.91,47,80,-33,-0.97,44.0,62.6,-18.6,-0.55
vs Mainz 05,28,26.2,34,3060,90,100,34.0,374,82,229,145,23,154,1.44,45,50,-5,-0.15,43.9,50.4,-6.5,-0.19
vs RB Leipzig,29,26.0,34,3060,90,100,34.0,374,81,228,144,18,147,1.09,37,72,-35,-1.03,40.1,64.5,-24.5,-0.72
vs Stuttgart,34,26.3,34,3060,90,100,34.0,374,83,224,148,21,154,1.68,59,41,18,0.53,54.0,43.7,10.2,0.3
vs Union Berlin,28,26.1,34,3060,90,100,34.0,374,83,230,141,19,159,1.06,44,50,-6,-0.18,38.5,47.0,-8.5,-0.25
vs Wolfsburg,30,26.3,34,3060,90,100,34.0,374,82,223,150,19,151,1.59,54,43,11,0.32,47.3,47.7,-0.4,-0.01
