Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Alavés,22,8.0,145,18.12,95,19,13,8,8,2,11,1.37,5,0,2,4,0,0
vs Athletic Club,24,8.0,125,15.62,96,9,12,6,0,2,15,1.87,12,1,1,1,0,0
vs Atlético Madrid,21,8.0,123,15.37,90,14,5,3,11,0,18,2.25,12,1,1,2,2,0
vs Barcelona,24,8.0,94,11.75,64,13,3,8,6,0,15,1.87,9,2,1,2,1,0
vs Betis,25,8.0,153,19.13,114,14,10,9,2,4,11,1.37,4,1,3,2,0,1
vs Celta Vigo,24,8.0,156,19.5,117,18,6,7,3,5,16,2.0,11,2,1,2,0,0
vs Elche,26,8.0,164,20.5,124,12,11,6,8,3,14,1.75,11,0,1,1,0,1
vs Espanyol,22,9.0,211,23.44,158,19,12,14,7,1,21,2.33,17,1,0,0,3,0
vs Getafe,23,8.0,144,18.0,109,18,5,2,8,2,17,2.12,14,2,0,1,0,0
vs Girona,27,8.0,231,28.87,175,16,13,13,8,6,27,3.38,18,0,3,1,3,2
vs Levante,24,8.0,252,31.5,194,16,13,18,7,4,23,2.87,17,1,2,0,2,1
vs Mallorca,24,8.0,218,27.25,173,16,10,9,7,3,22,2.75,18,0,0,2,2,0
vs Osasuna,20,8.0,183,22.87,144,12,13,6,6,2,12,1.5,9,0,1,1,1,0
vs Oviedo,26,9.0,291,32.33,216,21,9,30,9,6,26,2.89,14,4,1,5,1,1
vs Rayo Vallecano,23,8.0,147,18.37,110,10,12,6,7,2,19,2.37,11,1,2,2,2,1
vs Real Madrid,22,8.0,143,17.87,105,16,4,10,7,1,15,1.87,8,2,0,3,2,0
vs Real Sociedad,25,8.0,194,24.25,129,17,21,15,10,2,21,2.62,16,1,2,0,1,1
vs Sevilla,28,8.0,181,22.62,116,21,14,18,9,3,22,2.75,14,1,3,0,3,1
vs Valencia,20,8.0,197,24.62,152,18,7,11,7,2,27,3.38,22,3,1,1,0,0
vs Villarreal,25,8.0,159,19.87,117,9,9,10,10,4,14,1.75,11,0,2,0,1,0
