Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Augsburg,29,34.0,464,300,198,202,64,233,430,54.2,197,417,121,296,341,805,971,16
Bayern Munich,29,34.0,506,300,166,233,107,250,450,55.6,200,318,52,266,232,738,518,23
Bochum,27,34.0,600,360,318,207,75,306,572,53.5,266,475,142,333,294,894,906,23
Dortmund,28,34.0,523,319,232,196,95,261,492,53.0,231,375,100,275,249,772,726,18
Eint Frankfurt,26,34.0,566,341,267,219,80,280,508,55.1,228,425,128,297,287,853,994,26
Freiburg,26,34.0,511,317,225,222,64,235,457,51.4,222,400,112,288,276,787,811,21
Gladbach,26,34.0,504,284,278,177,49,240,473,50.7,233,445,166,279,317,821,1067,23
Heidenheim,27,34.0,614,356,322,235,57,294,558,52.7,264,435,109,326,312,926,952,15
Hoffenheim,35,34.0,570,336,266,236,68,269,511,52.6,242,450,139,311,291,861,922,22
Holstein Kiel,27,34.0,541,328,292,174,75,277,530,52.3,253,409,155,254,294,835,1126,22
Leverkusen,23,34.0,395,259,153,163,79,184,357,51.5,173,302,77,225,234,629,676,26
Mainz 05,25,34.0,564,325,234,247,83,236,448,52.7,212,419,128,291,352,916,947,22
RB Leipzig,29,34.0,543,333,248,222,73,258,525,49.1,267,500,156,344,268,811,990,29
St. Pauli,28,34.0,537,315,256,217,64,266,511,52.1,245,391,87,304,257,794,915,21
Stuttgart,29,34.0,477,282,197,199,81,254,476,53.4,222,401,104,297,298,775,777,20
Union Berlin,28,34.0,537,318,266,223,48,270,507,53.3,237,409,110,299,312,849,1046,13
Werder Bremen,23,34.0,551,321,245,240,66,276,521,53.0,245,454,144,310,315,866,851,27
Wolfsburg,27,34.0,491,301,257,175,59,246,540,45.6,294,435,133,302,312,803,977,19
