Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Augsburg,29,34.0,49,447,151,33.8,13.15,4.44,0.1,0.29,16.7,13,5,5,48.9,45.0,0.1,0.1,-1.0
vs Bayern Munich,29,34.0,32,229,79,34.5,6.74,2.32,0.14,0.39,17.3,3,1,2,25.5,24.0,0.11,6.5,7.0
vs Bochum,27,34.0,68,481,148,30.8,14.15,4.35,0.14,0.44,16.3,16,3,6,63.2,58.2,0.12,4.8,6.8
vs Dortmund,28,34.0,50,372,136,36.6,10.94,4.0,0.12,0.34,17.0,8,4,4,42.8,39.6,0.11,7.2,6.4
vs Eint Frankfurt,26,34.0,44,466,160,34.3,13.71,4.71,0.09,0.27,17.1,8,1,3,48.0,45.7,0.1,-4.0,-2.7
vs Freiburg,26,34.0,52,428,146,34.1,12.59,4.29,0.12,0.34,17.8,13,2,4,42.4,39.4,0.09,9.6,10.6
vs Gladbach,26,34.0,55,577,183,31.7,16.97,5.38,0.08,0.26,17.2,13,7,8,63.4,57.0,0.1,-8.4,-9.0
vs Heidenheim,27,34.0,64,454,165,36.3,13.35,4.85,0.13,0.35,17.4,15,6,6,57.6,53.0,0.12,6.4,5.0
vs Hoffenheim,35,34.0,65,485,167,34.4,14.26,4.91,0.13,0.37,16.4,16,3,6,55.8,51.1,0.11,9.2,10.9
vs Holstein Kiel,27,34.0,77,548,188,34.3,16.12,5.53,0.13,0.38,15.7,10,6,7,61.0,55.6,0.1,16.0,15.4
vs Leverkusen,23,34.0,39,330,130,39.4,9.71,3.82,0.11,0.27,17.2,10,4,4,36.2,33.1,0.1,2.8,1.9
vs Mainz 05,25,34.0,43,459,145,31.6,13.5,4.26,0.08,0.27,16.7,10,4,5,48.1,44.6,0.1,-5.1,-5.6
vs RB Leipzig,29,34.0,48,497,155,31.2,14.62,4.56,0.09,0.3,16.2,12,2,3,53.3,51.0,0.11,-5.3,-5.0
vs St. Pauli,28,34.0,40,375,135,36.0,11.03,3.97,0.1,0.29,16.1,6,1,5,45.4,41.5,0.11,-5.4,-2.5
vs Stuttgart,29,34.0,52,386,133,34.5,11.35,3.91,0.13,0.38,17.0,10,2,3,46.9,44.5,0.12,5.1,5.5
vs Union Berlin,28,34.0,49,410,133,32.4,12.06,3.91,0.11,0.35,16.9,13,2,6,47.8,43.0,0.11,1.2,4.0
vs Werder Bremen,23,34.0,54,467,153,32.8,13.74,4.5,0.11,0.33,17.6,18,3,3,48.1,45.7,0.1,5.9,5.3
vs Wolfsburg,27,34.0,53,470,157,33.4,13.82,4.62,0.11,0.32,16.5,13,2,3,52.5,50.1,0.11,0.5,0.9
