Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Arsenal,26,38.0,42,337,133,39.5,8.87,3.5,0.12,0.29,16.1,8,3,5,42.0,38.0,0.11,0.0,1.0
vs Aston Villa,26,38.0,42,424,145,34.2,11.16,3.82,0.09,0.26,16.5,14,5,6,52.5,47.9,0.12,-10.5,-10.9
vs Bournemouth,31,38.0,68,619,198,32.0,16.29,5.21,0.1,0.31,17.0,15,6,7,63.8,58.3,0.1,4.2,3.7
vs Brentford,25,38.0,43,557,195,35.0,14.66,5.13,0.07,0.21,18.4,13,2,2,48.8,47.6,0.09,-5.8,-6.6
vs Brighton,29,38.0,47,380,123,32.4,10.0,3.24,0.11,0.33,16.2,15,6,8,50.2,43.7,0.12,-3.2,-2.7
vs Chelsea,32,38.0,44,437,158,36.2,11.5,4.16,0.1,0.27,16.7,10,1,1,52.5,51.7,0.12,-8.5,-8.7
vs Crystal Palace,26,38.0,46,452,156,34.5,11.89,4.11,0.09,0.27,16.2,14,4,4,48.1,44.9,0.1,-2.1,-2.9
vs Everton,28,38.0,57,570,179,31.4,15.0,4.71,0.09,0.29,16.4,15,5,6,65.5,60.9,0.11,-8.5,-8.9
vs Fulham,29,38.0,51,497,188,37.8,13.08,4.95,0.09,0.23,16.7,20,7,8,63.6,57.8,0.12,-12.6,-13.8
vs Leeds United,29,38.0,77,522,180,34.5,13.74,4.74,0.14,0.4,16.5,19,5,6,67.1,62.4,0.12,9.9,9.6
vs Leicester City,28,38.0,63,567,173,30.5,14.92,4.55,0.1,0.34,17.2,21,4,5,63.3,59.8,0.11,-0.3,-0.8
vs Liverpool,28,38.0,45,366,154,42.1,9.63,4.05,0.12,0.28,15.9,9,2,4,50.8,47.9,0.13,-5.8,-4.9
vs Manchester City,24,38.0,32,291,89,30.6,7.66,2.34,0.1,0.33,17.2,11,3,3,32.1,29.8,0.11,-0.1,-0.8
vs Manchester Utd,26,38.0,42,478,139,29.1,12.58,3.66,0.08,0.29,16.6,18,2,3,50.4,48.0,0.1,-8.4,-8.0
vs Newcastle Utd,27,38.0,31,382,123,32.2,10.05,3.24,0.08,0.24,17.6,13,2,5,39.5,35.6,0.09,-8.5,-6.6
vs Nott'ham Forest,33,38.0,68,548,174,31.8,14.42,4.58,0.11,0.36,16.3,21,6,9,64.2,57.5,0.11,3.8,4.5
vs Southampton,36,38.0,68,523,147,28.1,13.76,3.87,0.13,0.45,16.5,11,2,3,60.8,58.4,0.12,7.2,7.6
vs Tottenham,29,38.0,62,516,168,32.6,13.58,4.42,0.11,0.35,18.1,18,3,4,49.6,46.5,0.09,12.4,12.5
vs West Ham,25,38.0,54,493,165,33.5,12.97,4.34,0.1,0.3,17.6,10,4,6,53.0,48.4,0.1,1.0,1.6
vs Wolves,32,38.0,57,551,170,30.9,14.5,4.47,0.1,0.32,17.2,27,2,4,59.9,56.7,0.11,-2.9,-1.7
