Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Alavés,22,8.0,3646,3208,420,149,5,37,143,162,32,13,9,0,2843,18,68
vs Athletic Club,24,8.0,3583,3183,364,108,13,32,107,145,31,9,16,0,2792,36,68
vs Atlético Madrid,21,8.0,3904,3553,346,101,10,23,132,127,24,5,8,1,3233,5,61
vs Barcelona,24,8.0,2284,1883,359,84,11,18,86,140,32,10,18,2,1572,42,65
vs Betis,25,8.0,4156,3793,340,79,10,16,166,135,47,16,24,1,3393,23,71
vs Celta Vigo,24,8.0,3976,3618,348,105,11,20,120,121,33,13,9,0,3331,10,66
vs Elche,26,8.0,3363,3009,343,103,13,13,153,139,38,12,18,0,2687,11,50
vs Espanyol,22,9.0,5104,4688,405,125,18,40,168,144,44,20,18,0,4319,11,68
vs Getafe,23,8.0,4102,3629,452,134,23,26,135,216,38,15,14,0,3241,21,92
vs Girona,27,8.0,4272,3934,331,88,18,21,154,142,48,18,15,0,3629,7,56
vs Levante,24,8.0,4553,4124,422,128,7,36,206,161,64,22,18,0,3813,7,75
vs Mallorca,24,8.0,4243,3869,362,104,8,33,150,145,49,16,10,1,3536,12,77
vs Osasuna,20,8.0,4322,3933,375,109,9,23,162,151,40,12,16,0,3556,14,64
vs Oviedo,26,9.0,5270,4839,420,114,10,35,188,189,58,34,9,0,4500,11,68
vs Rayo Vallecano,23,8.0,3449,3045,397,118,11,33,116,153,38,15,14,0,2675,7,82
vs Real Madrid,22,8.0,3151,2817,330,84,11,21,126,110,29,17,7,0,2529,4,59
vs Real Sociedad,25,8.0,3664,3254,400,128,10,36,102,144,37,16,12,0,2943,10,52
vs Sevilla,28,8.0,3374,2914,451,151,4,11,143,174,51,19,19,0,2621,9,75
vs Valencia,20,8.0,3864,3487,349,96,13,29,143,154,39,20,8,0,3139,28,45
vs Villarreal,25,8.0,4536,4171,362,101,16,39,117,135,23,10,3,0,3915,3,68
