Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Arsenal,25,38.0,531,13.97,376,35,30,44,23,23,44,1.16,24,4,4,5,2,5
vs Aston Villa,31,38.0,820,21.58,586,72,53,58,34,17,102,2.68,70,9,6,8,4,5
vs Bournemouth,30,38.0,934,24.58,681,77,60,68,31,17,112,2.95,82,3,6,11,8,2
vs Brentford,28,38.0,980,25.79,778,54,58,46,21,23,119,3.13,94,5,7,7,3,3
vs Brighton,30,38.0,814,21.42,599,51,64,48,33,19,95,2.5,68,3,7,7,7,3
vs Burnley,31,38.0,1095,28.82,815,89,53,64,49,25,128,3.37,89,7,9,10,8,5
vs Chelsea,32,38.0,967,25.45,669,92,53,67,56,30,95,2.5,69,8,3,10,4,1
vs Crystal Palace,26,38.0,832,21.89,607,86,34,52,42,11,104,2.74,84,7,3,5,4,1
vs Everton,26,38.0,951,25.03,695,79,53,75,33,16,81,2.13,56,3,5,9,7,1
vs Fulham,25,38.0,916,24.11,660,76,58,60,46,16,99,2.61,65,4,12,6,11,1
vs Liverpool,30,38.0,720,18.95,481,72,60,42,45,20,61,1.61,37,7,6,7,3,1
vs Luton Town,28,38.0,1146,30.16,853,82,69,80,40,22,133,3.5,94,9,12,11,5,2
vs Manchester City,25,38.0,495,13.03,363,44,36,27,14,11,56,1.47,41,3,5,4,3,0
vs Manchester Utd,31,38.0,1179,31.03,846,120,61,78,54,20,99,2.61,60,9,9,8,11,2
vs Newcastle Utd,32,38.0,932,24.53,703,73,57,51,33,15,109,2.87,79,6,11,7,6,0
vs Nott'ham Forest,33,38.0,897,23.61,680,69,45,45,45,13,113,2.97,83,10,6,5,8,1
vs Sheffield Utd,35,38.0,1210,31.84,890,113,82,69,44,12,175,4.61,130,12,11,13,8,1
vs Tottenham,29,38.0,835,21.97,565,100,50,63,44,13,103,2.71,62,10,8,11,10,2
vs West Ham,26,38.0,1192,31.37,927,75,54,86,41,9,126,3.32,87,5,11,11,10,2
vs Wolves,27,38.0,1009,26.55,737,76,47,77,42,30,113,2.97,80,6,9,8,8,2
