Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Alavés,29,38.0,107,5,2,623,476,77,798,309,459,8,11,2,1499,639,694,47.9
Athletic Club,31,38.0,64,3,1,483,386,68,772,344,345,5,5,1,1735,496,514,49.1
Atlético Madrid,24,38.0,75,3,0,412,427,72,675,260,375,4,5,2,1563,445,420,51.4
Barcelona,28,38.0,63,3,1,368,465,65,709,227,332,8,4,0,1673,380,339,52.9
Betis,36,38.0,75,4,0,433,524,56,627,356,397,9,4,1,1679,464,478,49.3
Celta Vigo,30,38.0,84,6,3,462,436,67,501,282,340,6,4,2,1532,375,439,46.1
Espanyol,27,38.0,88,1,0,498,432,61,619,315,397,5,6,1,1364,493,504,49.4
Getafe,30,38.0,110,7,3,602,506,90,721,276,393,3,9,0,1436,771,738,51.1
Girona,30,38.0,76,2,0,437,439,79,804,279,348,4,6,1,1443,321,344,48.3
Las Palmas,34,38.0,110,4,2,452,462,59,674,321,370,1,10,3,1454,529,561,48.5
Leganés,26,38.0,82,6,0,503,470,84,495,332,384,7,8,3,1500,472,614,43.5
Mallorca,28,38.0,81,6,1,466,432,78,735,326,361,4,3,1,1523,672,609,52.5
Osasuna,25,38.0,88,0,0,508,379,66,819,266,365,9,7,1,1461,617,515,54.5
Rayo Vallecano,26,38.0,96,3,0,522,391,79,769,334,396,1,8,1,1688,485,540,47.3
Real Madrid,30,38.0,57,4,0,332,518,85,578,331,359,11,3,1,1541,334,267,55.6
Real Sociedad,31,38.0,85,4,0,501,417,82,740,283,401,3,7,0,1569,578,606,48.8
Sevilla,35,38.0,98,8,3,494,402,70,612,367,390,1,6,1,1551,531,442,54.6
Valencia,32,38.0,86,1,0,442,446,72,763,302,415,4,9,3,1550,449,540,45.4
Valladolid,38,38.0,91,5,2,459,486,67,671,311,357,3,7,1,1355,544,524,50.9
Villarreal,31,38.0,96,4,1,442,463,77,674,281,396,6,8,1,1547,492,399,55.2
