Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Angers,31,38.0,697,18.34,502,57,57,32,36,13,103,2.71,80,1,12,4,6,0
vs Bordeaux,28,38.0,840,22.11,605,72,50,50,54,9,99,2.61,62,8,7,11,9,2
vs Brest,26,38.0,848,22.32,626,62,45,52,51,12,110,2.89,69,8,10,6,14,3
vs Dijon,33,38.0,921,24.24,634,99,46,54,69,19,117,3.08,74,11,8,11,13,0
vs Lens,27,38.0,687,18.08,447,79,41,44,61,15,80,2.11,43,8,6,9,11,3
vs Lille,21,38.0,567,14.92,401,64,27,34,33,8,37,0.97,26,4,2,2,2,1
vs Lorient,27,38.0,801,21.08,533,83,67,51,56,11,117,3.08,76,7,10,7,15,2
vs Lyon,29,38.0,746,19.63,550,67,41,38,35,15,67,1.76,47,1,5,6,8,0
vs Marseille,31,38.0,783,20.61,561,79,41,39,55,8,80,2.11,55,7,5,6,6,1
vs Metz,27,38.0,811,21.34,557,80,59,36,65,14,83,2.18,51,6,7,4,13,2
vs Monaco,30,38.0,567,14.92,398,52,39,25,42,11,64,1.68,40,4,5,5,7,3
vs Montpellier,25,38.0,966,25.42,651,96,78,51,69,21,107,2.82,75,6,7,5,14,0
vs Nantes,25,38.0,791,20.82,555,61,59,62,47,7,86,2.26,59,4,3,11,9,0
vs Nice,31,38.0,885,23.29,621,83,61,55,47,18,80,2.11,49,6,5,12,5,3
vs Nîmes,33,38.0,921,24.24,650,87,53,56,58,17,121,3.18,88,8,7,10,7,1
vs Paris S-G,33,38.0,649,17.08,478,50,38,42,27,14,40,1.05,26,2,3,6,2,1
vs Reims,29,38.0,878,23.11,623,68,57,58,52,20,85,2.24,57,9,3,8,7,1
vs Rennes,32,38.0,622,16.37,442,53,42,40,37,8,68,1.79,43,3,10,7,5,0
vs Saint-Étienne,40,38.0,710,18.68,469,73,46,43,68,11,90,2.37,61,9,4,2,12,2
vs Strasbourg,26,38.0,670,17.63,472,72,37,28,49,12,93,2.45,62,7,5,9,8,2
