Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Milan,19,12,4,3,28,12,16,40,2.11,28.5,15.3,13.2,0.69,19,14,4,1,41,19,22,46,2.42,31.1,20.6,10.6,0.56
2,Inter,19,14,3,2,48,16,32,45,2.37,45.0,17.8,27.2,1.43,19,11,6,2,36,16,20,39,2.05,36.6,21.3,15.3,0.81
3,Napoli,19,11,3,5,37,16,21,36,1.89,31.7,14.0,17.7,0.93,19,13,4,2,37,15,22,43,2.26,26.1,18.5,7.6,0.4
4,Juventus,19,10,5,4,25,14,11,35,1.84,27.2,14.5,12.8,0.67,19,10,5,4,32,23,9,35,1.84,24.2,23.6,0.6,0.03
5,Lazio,19,10,6,3,42,25,17,36,1.89,30.8,23.6,7.3,0.38,19,8,4,7,35,33,2,28,1.47,24.5,24.1,0.4,0.02
6,Roma,19,10,6,3,26,16,10,36,1.89,31.6,16.9,14.7,0.78,19,8,3,8,33,27,6,27,1.42,33.5,21.4,12.0,0.63
7,Fiorentina,19,13,2,4,38,20,18,41,2.16,36.8,17.5,19.3,1.02,19,6,3,10,21,31,-10,21,1.11,23.2,23.1,0.1,0.01
8,Atalanta,19,4,8,7,31,29,2,20,1.05,32.3,24.0,8.3,0.44,19,12,3,4,34,19,15,39,2.05,30.1,21.3,8.8,0.46
9,Hellas Verona,19,9,3,7,34,25,9,30,1.58,24.7,22.5,2.2,0.12,19,5,8,6,31,34,-3,23,1.21,25.7,26.6,-0.8,-0.04
10,Torino,19,8,5,6,29,21,8,29,1.53,27.5,20.1,7.4,0.39,19,5,6,8,17,20,-3,21,1.11,21.2,18.8,2.4,0.13
11,Sassuolo,19,6,6,7,27,30,-3,24,1.26,25.5,28.4,-2.9,-0.15,19,7,5,7,37,36,1,26,1.37,30.1,38.0,-7.8,-0.41
12,Udinese,19,6,7,6,31,29,2,25,1.32,26.4,26.3,0.1,0.0,19,5,7,7,30,29,1,22,1.16,25.0,26.1,-1.1,-0.06
13,Bologna,19,8,4,7,25,24,1,28,1.47,22.3,22.0,0.3,0.01,19,4,6,9,19,31,-12,18,0.95,22.6,30.6,-8.0,-0.42
14,Empoli,19,4,5,10,28,44,-16,17,0.89,24.1,39.0,-15.0,-0.79,19,6,6,7,22,26,-4,24,1.26,20.8,27.0,-6.2,-0.33
15,Sampdoria,19,6,3,10,29,32,-3,21,1.11,20.9,23.6,-2.7,-0.14,19,4,3,12,17,31,-14,15,0.79,15.8,32.5,-16.7,-0.88
16,Spezia,19,5,3,11,21,30,-9,18,0.95,22.2,30.8,-8.7,-0.46,19,5,3,11,20,41,-21,18,0.95,17.9,33.5,-15.6,-0.82
17,Salernitana,19,3,6,10,17,39,-22,15,0.79,18.9,30.6,-11.6,-0.61,19,4,4,11,16,39,-23,16,0.84,17.6,34.7,-17.1,-0.9
18,Cagliari,19,3,6,10,20,33,-13,15,0.79,22.5,26.8,-4.3,-0.22,19,3,6,10,14,35,-21,15,0.79,16.5,34.2,-17.7,-0.93
19,Genoa,19,3,8,8,14,25,-11,17,0.89,18.8,23.0,-4.1,-0.22,19,1,8,10,13,35,-22,11,0.58,18.4,31.1,-12.7,-0.67
20,Venezia,19,3,5,11,21,38,-17,14,0.74,23.3,37.6,-14.3,-0.75,19,3,4,12,13,31,-18,13,0.68,13.2,34.2,-21.0,-1.11
