Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
vs Alavés,33,27.6,38,3420,90,100,38.0,418,82,236,180,20,234,2.0,65,31,34,0.89,57.0,37.3,19.7,0.52
vs Athletic Club,26,27.6,38,3420,90,100,38.0,418,81,245,168,20,255,1.21,36,43,-7,-0.18,38.4,49.6,-11.3,-0.3
vs Atlético Madrid,26,27.6,38,3420,90,100,38.0,418,79,244,171,20,249,0.92,43,65,-22,-0.58,33.4,54.4,-21.1,-0.56
vs Barcelona,38,27.7,38,3420,90,100,38.0,418,82,244,175,22,249,0.82,38,68,-30,-0.79,34.4,63.4,-29.0,-0.76
vs Betis,31,27.4,38,3420,90,100,38.0,418,82,244,172,23,245,1.08,40,62,-22,-0.58,43.4,53.5,-10.1,-0.27
vs Cádiz,33,27.6,38,3420,90,100,38.0,418,81,250,166,20,251,1.58,51,35,16,0.42,48.3,39.5,8.7,0.23
vs Celta Vigo,25,27.4,38,3420,90,100,38.0,418,82,239,178,20,241,1.53,43,43,0,0.0,45.7,43.1,2.6,0.07
vs Elche,28,27.4,38,3420,90,100,38.0,418,80,237,179,20,241,1.66,52,40,12,0.32,59.1,33.7,25.4,0.67
vs Espanyol,34,27.5,38,3420,90,100,38.0,418,81,243,169,21,252,1.58,53,40,13,0.34,51.2,36.7,14.5,0.38
vs Getafe,31,27.8,38,3420,90,100,38.0,418,83,247,168,19,252,1.58,41,33,8,0.21,38.6,29.3,9.3,0.25
vs Granada,32,27.6,38,3420,90,100,38.0,418,80,233,178,20,231,1.63,61,44,17,0.45,61.2,39.0,22.2,0.59
vs Levante,31,27.4,38,3420,90,100,38.0,418,81,238,177,19,245,1.79,76,51,25,0.66,55.0,55.1,-0.1,0.0
vs Mallorca,33,27.7,38,3420,90,100,38.0,418,82,239,175,23,246,1.74,63,36,27,0.71,49.3,38.8,10.5,0.28
vs Osasuna,29,27.6,38,3420,90,100,38.0,418,83,248,170,21,243,1.47,51,37,14,0.37,46.3,36.7,9.6,0.25
vs Rayo Vallecano,28,27.6,38,3420,90,100,38.0,418,81,248,170,21,245,1.66,50,39,11,0.29,48.4,42.8,5.6,0.15
vs Real Madrid,31,27.6,38,3420,90,100,38.0,418,83,240,177,22,246,0.53,31,80,-49,-1.29,43.9,71.7,-27.8,-0.73
vs Real Sociedad,32,27.7,38,3420,90,100,38.0,418,81,251,166,19,262,1.08,37,40,-3,-0.08,38.7,51.5,-12.8,-0.34
vs Sevilla,33,27.8,38,3420,90,100,38.0,418,79,250,165,22,255,0.74,30,53,-23,-0.61,36.9,42.4,-5.4,-0.14
vs Valencia,34,27.8,38,3420,90,100,38.0,418,81,244,170,22,243,1.34,53,48,5,0.13,47.7,39.0,8.7,0.23
vs Villarreal,29,27.6,38,3420,90,100,38.0,418,81,243,172,21,254,1.16,37,63,-26,-0.68,44.8,64.2,-19.4,-0.51
