Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs Alavés,33,58.2,38.0,24006,2263,7419,10974,5796,897,23997,638,375,58.8,262,41.1,13155,67162,34846,656,466,159,632,288,15266,1558
vs Athletic Club,26,51.9,38.0,23145,2686,8299,9724,5338,738,23142,582,358,61.5,224,38.5,13233,61552,29810,586,413,154,626,284,14558,1356
vs Atlético Madrid,26,49.4,38.0,22840,2520,7416,10829,4797,518,22832,619,326,52.7,293,47.3,12320,62922,31387,495,430,78,587,343,14731,1304
vs Barcelona,38,35.2,38.0,18008,2652,7090,7453,3639,576,18005,493,249,50.5,244,49.5,9266,49398,23152,448,287,136,569,343,10357,931
vs Betis,31,45.9,38.0,21018,2221,6760,9187,5302,736,21015,695,371,53.4,324,46.6,11051,61249,32663,686,469,160,562,338,12921,1356
vs Cádiz,33,59.1,38.0,24939,2196,6771,12031,6336,803,24926,712,410,57.6,302,42.4,14139,77242,41615,735,581,139,672,345,16592,1789
vs Celta Vigo,25,44.4,38.0,21082,2265,6965,9473,4873,676,21074,762,476,62.5,286,37.5,10464,53122,25441,547,395,133,679,410,12239,1241
vs Elche,28,51.6,38.0,22214,1764,6198,10589,5631,834,22205,623,354,56.8,268,43.0,12291,66584,35516,657,488,163,567,321,14181,1463
vs Espanyol,34,52.9,38.0,23110,1938,6189,10593,6526,976,23105,646,371,57.4,275,42.6,12859,72070,39484,800,567,194,533,282,15370,1679
vs Getafe,31,58.8,38.0,25022,2099,7619,12389,5225,653,25018,594,346,58.2,248,41.8,14196,68698,34864,612,505,111,621,339,16581,1509
vs Granada,32,66.0,38.0,22987,2120,6813,10236,6130,960,22978,632,358,56.6,274,43.4,12410,63240,33624,706,505,190,644,337,14472,1594
vs Levante,31,53.1,38.0,22619,2204,6680,10519,5639,842,22613,611,374,61.2,237,38.8,12819,67914,35497,716,561,187,554,321,14569,1437
vs Mallorca,33,54.9,38.0,22593,2165,6846,10513,5434,804,22585,551,303,55.0,248,45.0,12229,64575,33902,650,495,141,622,359,14251,1358
vs Osasuna,29,53.3,38.0,23306,2463,7877,10125,5520,747,23299,598,347,58.0,251,42.0,12658,67449,35402,722,527,182,603,326,14488,1309
vs Rayo Vallecano,28,50.1,38.0,21403,2364,7202,9223,5218,723,21394,688,408,59.3,280,40.7,11305,58159,29428,603,470,154,614,341,12807,1315
vs Real Madrid,31,34.0,38.0,20331,2591,6738,8722,5040,681,20326,502,291,58.0,211,42.0,11747,60712,32279,632,509,147,507,349,13167,1250
vs Real Sociedad,32,45.3,38.0,20488,2362,6990,8514,5184,665,20482,546,286,52.4,260,47.6,11269,57819,28984,587,471,149,625,326,12202,1191
vs Sevilla,33,40.2,38.0,19020,2220,6221,8288,4698,685,19016,542,306,56.5,236,43.5,9919,52159,26910,521,423,124,558,298,11202,1174
vs Valencia,34,56.4,38.0,21974,2234,7262,9584,5338,726,21966,623,357,57.3,266,42.7,11943,61183,31339,597,444,133,663,325,13584,1383
vs Villarreal,29,43.0,38.0,19595,2370,6846,8101,4842,700,19590,476,247,51.9,229,48.1,10274,56171,27932,583,422,161,521,309,11770,1087
