Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Atalanta,29,38.0,67,1,1,395,454,58,571,340,414,7,5,0,1939,491,627,43.9
vs Bologna,28,38.0,120,2,1,503,443,49,641,306,377,6,5,2,1744,413,416,49.8
vs Cagliari,29,38.0,86,2,2,441,434,91,761,251,327,1,6,1,1722,613,571,51.8
vs Empoli,34,38.0,71,3,2,530,487,49,814,261,334,6,5,3,1687,628,509,55.2
vs Fiorentina,30,38.0,80,3,2,478,422,89,457,272,382,7,8,1,1623,603,626,49.1
vs Frosinone,34,38.0,84,1,1,482,352,71,676,302,407,5,10,0,1855,602,518,53.8
vs Genoa,34,38.0,92,5,2,449,419,68,774,271,298,4,6,2,1713,543,610,47.1
vs Hellas Verona,36,38.0,78,1,1,478,518,84,617,215,307,1,7,0,1812,644,750,46.2
vs Inter,27,38.0,70,7,1,434,378,41,608,291,231,4,14,2,1432,370,535,40.9
vs Juventus,31,38.0,66,4,3,401,454,25,756,273,319,2,5,2,1582,434,486,47.2
vs Lazio,22,38.0,95,3,2,459,453,39,614,318,303,1,4,3,1782,453,399,53.2
vs Lecce,26,38.0,88,5,2,508,468,37,680,274,381,3,5,2,1791,616,548,52.9
vs Milan,35,38.0,88,8,3,430,403,49,575,270,370,7,8,0,1614,410,432,48.7
vs Monza,31,38.0,75,4,1,431,434,46,655,259,304,7,5,1,1610,462,442,51.1
vs Napoli,29,38.0,82,2,0,478,350,75,542,285,393,3,10,1,1596,483,470,50.7
vs Roma,30,38.0,92,6,3,458,436,44,640,282,321,3,12,1,1649,443,478,48.1
vs Salernitana,39,38.0,79,1,1,498,422,79,802,294,349,6,2,0,1785,662,520,56.0
vs Sassuolo,30,38.0,64,1,0,424,363,112,759,285,340,7,8,1,1794,607,452,57.3
vs Torino,30,38.0,81,5,3,435,445,38,557,291,311,6,2,1,1649,594,588,50.3
vs Udinese,32,38.0,81,3,3,445,469,51,846,249,394,6,4,1,1654,467,561,45.4
