Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Angers,21,7.0,3,56,17,30.4,8.0,2.43,0.04,0.12,15.7,1,1,1,6.6,5.9,0.11,-3.6,-3.9
Auxerre,22,7.0,4,77,22,28.6,11.0,3.14,0.05,0.18,18.7,3,0,1,7.5,6.8,0.09,-3.5,-2.8
Brest,24,7.0,11,99,27,27.3,14.14,3.86,0.09,0.33,17.7,2,2,2,11.5,9.9,0.1,-0.5,-0.9
Le Havre,22,7.0,8,80,23,28.8,11.43,3.29,0.09,0.3,18.8,4,1,2,9.7,8.1,0.11,-1.7,-1.1
Lens,22,7.0,10,98,30,30.6,14.0,4.29,0.08,0.27,16.0,3,2,2,12.8,11.2,0.12,-2.8,-3.2
Lille,26,7.0,14,106,31,29.2,15.14,4.43,0.12,0.42,16.9,2,1,2,13.9,12.4,0.12,0.1,0.6
Lorient,22,7.0,9,80,27,33.8,11.43,3.86,0.11,0.33,16.5,3,0,1,9.3,8.3,0.11,-0.3,0.7
Lyon,22,7.0,9,84,31,36.9,12.0,4.43,0.11,0.29,15.0,2,0,0,11.6,11.6,0.15,-2.6,-2.6
Marseille,28,7.0,14,98,36,36.7,14.0,5.14,0.12,0.33,17.6,2,2,3,12.7,10.9,0.11,1.3,1.1
Metz,23,7.0,5,53,11,20.8,7.57,1.57,0.08,0.36,17.2,0,1,2,7.1,5.5,0.11,-2.1,-1.5
Monaco,26,7.0,14,82,22,26.8,11.71,3.14,0.13,0.5,16.1,3,3,3,13.7,11.4,0.14,0.3,-0.4
Nantes,21,7.0,5,65,13,20.0,9.29,1.86,0.08,0.38,19.7,1,0,1,5.3,4.5,0.07,-0.3,0.5
Nice,26,7.0,8,95,29,30.5,13.57,4.14,0.07,0.24,18.0,1,1,1,9.4,8.6,0.09,-1.4,-1.6
Paris FC,24,7.0,12,95,33,34.7,13.57,4.71,0.11,0.3,18.4,1,2,2,11.1,9.6,0.1,0.9,0.4
Paris S-G,22,8.0,16,127,46,36.2,15.87,5.75,0.1,0.28,20.0,8,3,4,13.4,10.3,0.08,2.6,2.7
Rennes,25,7.0,8,84,25,29.8,12.0,3.57,0.08,0.28,19.1,1,1,1,8.7,7.9,0.1,-0.7,-0.9
Strasbourg,25,8.0,17,90,38,42.2,11.25,4.75,0.17,0.39,15.9,5,2,2,15.7,14.1,0.17,1.3,0.9
Toulouse,21,7.0,10,83,25,30.1,11.86,3.57,0.11,0.36,16.3,1,1,3,10.3,8.1,0.1,-0.3,0.9
