Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Atalanta,32,38.0,67,1,1,435,393,54,778,296,347,5,2,2,1732,585,490,54.4
Bologna,30,38.0,61,4,1,537,604,63,756,258,346,6,3,2,1516,579,616,48.5
Cagliari,28,38.0,68,3,3,500,397,65,758,276,303,2,6,0,1522,606,600,50.2
Como,38,38.0,87,7,3,503,518,65,568,279,412,1,7,0,1547,472,487,49.2
Empoli,34,38.0,68,5,2,570,459,57,620,323,396,3,3,1,1480,577,710,44.8
Fiorentina,34,38.0,82,3,2,440,550,88,588,275,313,6,3,1,1436,508,487,51.1
Genoa,37,38.0,71,1,0,497,448,55,663,308,385,1,8,3,1481,666,696,48.9
Hellas Verona,32,38.0,98,9,5,579,352,55,562,329,434,1,4,1,1427,671,699,49.0
Inter,26,38.0,56,1,1,417,405,90,751,227,288,6,4,1,1440,604,419,59.0
Juventus,29,38.0,67,3,1,480,378,52,630,215,353,3,5,0,1516,458,461,49.8
Lazio,27,38.0,93,7,3,425,484,46,864,295,319,4,4,2,1439,473,491,49.1
Lecce,31,38.0,61,7,1,466,427,52,628,285,372,2,10,3,1484,676,651,50.9
Milan,35,38.0,70,6,1,415,428,60,634,234,349,7,2,3,1397,434,391,52.6
Monza,36,38.0,90,3,2,512,529,54,656,305,315,0,4,3,1299,567,605,48.4
Napoli,27,38.0,47,0,0,415,445,55,681,270,323,4,4,2,1435,530,460,53.5
Parma,32,38.0,78,6,3,405,458,31,427,279,293,5,5,2,1365,499,502,49.9
Roma,28,38.0,66,1,1,405,484,59,636,282,328,6,4,1,1437,441,476,48.1
Torino,31,38.0,80,3,1,483,386,57,675,278,261,2,7,2,1296,538,564,48.8
Udinese,31,38.0,88,5,3,543,379,50,679,302,346,2,8,5,1426,550,493,52.7
Venezia,36,38.0,75,2,2,503,451,58,529,279,361,4,11,3,1450,490,626,43.9
