Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Alavés,30,38.0,595,15.66,375,97,25,35,50,13,59,1.55,28,9,4,5,9,4
Athletic Club,27,38.0,723,19.03,539,66,37,25,43,13,73,1.92,52,5,3,5,7,1
Atlético Madrid,25,38.0,796,20.95,585,71,55,42,35,8,120,3.16,90,7,12,3,7,1
Barcelona,25,38.0,1064,28.0,833,50,76,34,61,10,136,3.58,105,2,12,9,7,1
Betis,25,38.0,800,21.05,578,74,59,40,36,13,91,2.39,58,12,6,5,9,1
Cádiz,34,38.0,517,13.61,330,65,38,27,42,15,53,1.39,37,2,3,6,4,1
Celta Vigo,30,38.0,624,16.42,460,51,31,36,38,8,98,2.58,69,6,5,6,10,2
Eibar,30,38.0,758,19.95,503,88,49,52,51,15,48,1.26,30,3,6,4,2,3
Elche,30,38.0,460,12.11,318,60,22,25,30,5,54,1.42,35,8,3,4,3,1
Getafe,31,38.0,618,16.26,413,70,37,37,52,9,38,1.0,22,0,6,6,4,0
Granada,34,38.0,592,15.58,387,66,37,43,50,9,69,1.82,45,4,5,9,4,2
Huesca,27,38.0,719,18.92,517,71,44,34,43,10,56,1.47,41,6,2,4,1,2
Levante,29,38.0,671,17.66,519,48,36,25,29,14,80,2.11,60,4,5,4,3,4
Osasuna,28,38.0,615,16.18,441,70,31,35,30,8,61,1.61,45,4,0,6,3,3
Real Madrid,30,38.0,981,25.82,745,79,55,51,41,10,114,3.0,89,6,8,5,4,2
Real Sociedad,30,38.0,749,19.71,532,76,35,45,48,13,100,2.63,72,9,2,9,8,0
Sevilla,26,38.0,830,21.84,635,61,55,36,35,8,87,2.29,65,4,8,6,4,0
Valencia,30,38.0,687,18.08,482,58,47,34,59,7,86,2.26,58,10,5,5,8,0
Valladolid,32,38.0,652,17.16,471,50,33,31,55,12,56,1.47,36,2,3,5,9,1
Villarreal,29,38.0,742,19.53,576,46,49,27,37,7,99,2.61,69,3,12,7,7,1
