Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Arminia,26,34.0,51,521,173,33.2,15.32,5.09,0.08,0.25,15.7,14,7,7,62.8,57.5,0.11,-11.8,-13.5
vs Augsburg,26,34.0,54,482,151,31.3,14.18,4.44,0.1,0.32,17.5,23,5,5,57.9,54.2,0.11,-3.9,-5.2
vs Bayern Munich,30,34.0,36,315,110,34.9,9.26,3.24,0.11,0.31,17.2,9,2,2,36.3,34.7,0.11,-0.3,-0.7
vs Bochum,28,34.0,48,467,169,36.2,13.74,4.97,0.09,0.25,17.0,10,5,8,55.8,50.4,0.11,-7.8,-7.4
vs Dortmund,33,34.0,50,365,130,35.6,10.74,3.82,0.12,0.34,16.9,15,6,6,46.3,41.6,0.12,3.7,2.4
vs Eint Frankfurt,27,34.0,48,429,161,37.5,12.62,4.74,0.1,0.27,16.5,12,4,4,47.0,43.8,0.1,1.0,0.2
vs Freiburg,26,34.0,45,480,151,31.5,14.12,4.44,0.09,0.28,18.3,12,2,2,44.0,42.5,0.09,1.0,0.5
vs Gladbach,26,34.0,61,472,180,38.1,13.88,5.29,0.12,0.32,15.9,14,3,5,55.0,50.8,0.11,6.0,7.2
vs Greuther Fürth,29,34.0,77,505,182,36.0,14.85,5.35,0.14,0.39,17.0,15,6,6,60.2,55.5,0.11,16.8,15.5
vs Hertha BSC,36,34.0,71,455,164,36.0,13.38,4.82,0.14,0.38,16.8,22,8,8,54.3,48.1,0.11,16.7,14.9
vs Hoffenheim,32,34.0,59,420,159,37.9,12.35,4.68,0.14,0.36,16.3,8,2,4,54.6,51.4,0.13,4.4,5.6
vs Köln,26,34.0,47,429,153,35.7,12.62,4.5,0.11,0.31,16.6,19,0,1,50.6,49.8,0.12,-3.6,-2.8
vs Leverkusen,29,34.0,46,452,159,35.2,13.29,4.68,0.1,0.28,17.8,11,2,4,44.0,40.9,0.09,2.0,3.1
vs Mainz 05,28,34.0,44,377,119,31.6,11.09,3.5,0.1,0.33,18.7,22,5,6,43.9,39.8,0.11,0.1,-0.8
vs RB Leipzig,29,34.0,36,349,112,32.1,10.26,3.29,0.09,0.29,16.9,8,3,3,40.1,37.7,0.11,-4.1,-4.7
vs Stuttgart,34,34.0,58,499,159,31.9,14.68,4.68,0.11,0.34,17.6,12,4,4,54.0,50.9,0.11,4.0,3.1
vs Union Berlin,28,34.0,40,393,120,30.5,11.56,3.53,0.1,0.32,17.6,12,2,2,38.5,37.0,0.1,1.5,1.0
vs Wolfsburg,30,34.0,53,437,150,34.3,12.85,4.41,0.11,0.33,17.9,16,4,7,47.3,41.7,0.1,5.7,7.3
