Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Augsburg,29,34.0,795,23.38,600,62,37,54,34,8,83,2.44,57,6,4,12,4,0
vs Bayern Munich,29,34.0,397,11.68,286,39,19,22,20,11,55,1.62,35,6,3,5,4,2
vs Bochum,27,34.0,848,24.94,601,88,49,54,46,10,118,3.47,80,11,8,8,8,3
vs Dortmund,28,34.0,660,19.41,506,43,29,33,35,14,85,2.5,66,4,4,3,5,3
vs Eint Frankfurt,26,34.0,815,23.97,600,76,39,59,33,8,75,2.21,50,7,5,10,3,0
vs Freiburg,26,34.0,753,22.15,543,63,40,52,32,23,93,2.74,57,6,12,11,5,2
vs Gladbach,26,34.0,1020,30.0,760,84,46,78,42,10,91,2.68,53,7,7,16,6,2
vs Heidenheim,27,34.0,832,24.47,626,69,53,42,36,6,120,3.53,93,5,5,10,7,0
vs Hoffenheim,35,34.0,858,25.24,621,66,52,69,37,13,120,3.53,88,8,9,9,5,1
vs Holstein Kiel,27,34.0,1002,29.47,716,97,49,75,55,10,124,3.65,86,7,8,12,9,2
vs Leverkusen,23,34.0,579,17.03,412,57,28,37,32,13,66,1.94,40,3,7,7,6,3
vs Mainz 05,25,34.0,807,23.74,567,89,21,83,36,11,72,2.12,44,9,2,10,6,1
vs RB Leipzig,29,34.0,887,26.09,627,79,52,74,41,14,85,2.5,59,4,6,10,3,3
vs St. Pauli,28,34.0,691,20.32,505,66,40,38,33,9,69,2.03,45,5,10,5,2,2
vs Stuttgart,29,34.0,671,19.74,475,73,38,40,37,8,80,2.35,49,8,6,13,3,1
vs Union Berlin,28,34.0,737,21.68,556,67,34,35,35,10,90,2.65,65,4,6,6,5,4
vs Werder Bremen,23,34.0,828,24.35,607,72,55,51,35,8,98,2.88,74,3,8,4,6,3
vs Wolfsburg,27,34.0,847,24.91,597,83,54,64,35,14,92,2.71,58,9,8,13,2,2
