Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Angers,31,38.0,21744,19953,1722,472,21,136,652,759,175,85,65,0,17811,69,310
vs Bordeaux,28,38.0,19657,17866,1730,468,17,176,706,731,204,96,82,3,15866,61,303
vs Brest,26,38.0,20261,18303,1914,517,24,140,752,780,192,89,80,3,16431,44,285
vs Dijon,33,38.0,20911,18974,1865,524,26,172,774,797,234,83,96,1,16968,72,284
vs Lens,27,38.0,18286,16194,2049,551,33,134,632,923,184,76,75,3,14243,43,339
vs Lille,21,38.0,18810,16993,1791,533,9,178,638,745,146,70,57,1,14859,26,303
vs Lorient,27,38.0,21369,19386,1957,488,15,203,627,940,163,81,61,2,17386,26,352
vs Lyon,29,38.0,17698,15819,1835,523,16,152,638,671,166,74,61,3,13965,44,309
vs Marseille,31,38.0,17666,15621,1948,526,21,138,729,882,195,76,75,0,13749,97,305
vs Metz,27,38.0,20494,18463,1987,530,29,133,742,895,205,109,69,1,16391,44,323
vs Monaco,30,38.0,17419,15501,1862,526,10,190,536,782,124,40,64,0,13479,56,327
vs Montpellier,25,38.0,20043,18127,1880,516,23,161,743,764,214,95,85,2,16330,36,276
vs Nantes,25,38.0,21456,19341,2060,530,14,173,657,991,173,73,68,3,17198,55,338
vs Nice,31,38.0,18253,16401,1792,464,19,157,746,744,215,87,80,4,14737,60,278
vs Nîmes,33,38.0,21162,19228,1878,437,24,193,780,904,200,93,76,2,17110,56,355
vs Paris S-G,33,38.0,15345,13582,1705,512,23,164,530,556,148,66,61,0,12123,58,281
vs Reims,29,38.0,21250,19397,1813,465,28,158,775,809,182,85,74,0,17443,40,272
vs Rennes,32,38.0,16512,14661,1794,509,36,143,515,767,126,54,47,4,12782,57,302
vs Saint-Étienne,40,38.0,19010,16849,2120,527,25,170,644,1035,183,71,88,1,14835,41,327
vs Strasbourg,26,38.0,20605,18667,1888,505,19,137,698,839,187,95,74,1,16696,50,296
