Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Augsburg,29,34.0,18656,16854,1744,514,43,156,658,678,179,95,53,4,14958,58,331
vs Bayern Munich,30,34.0,14634,13184,1400,346,45,86,463,527,96,38,40,1,11673,50,325
vs Bochum,25,34.0,16555,14631,1865,506,51,101,668,755,198,87,85,2,12224,59,367
vs Darmstadt 98,32,34.0,18463,16773,1631,453,76,70,622,709,182,73,79,0,14988,59,299
vs Dortmund,32,34.0,14962,13401,1471,330,54,83,602,623,172,74,66,0,11645,90,350
vs Eint Frankfurt,34,34.0,17532,15912,1535,378,48,85,619,679,155,47,74,3,13799,85,373
vs Freiburg,25,34.0,18560,17024,1492,399,49,69,601,611,190,82,78,1,15011,44,316
vs Gladbach,27,34.0,19590,17982,1562,355,65,81,710,668,208,87,79,0,16078,46,352
vs Heidenheim,22,34.0,19659,17901,1702,450,67,83,637,739,170,76,81,3,15688,56,384
vs Hoffenheim,30,34.0,17443,15782,1609,363,50,99,697,699,193,61,78,0,13823,52,310
vs Köln,26,34.0,18354,16589,1725,447,41,101,629,742,203,85,87,3,14756,40,392
vs Leverkusen,24,34.0,14960,13528,1394,371,35,58,405,504,112,63,43,0,11820,38,280
vs Mainz 05,30,34.0,17869,16094,1732,511,39,72,546,749,142,42,62,0,13806,43,359
vs RB Leipzig,26,34.0,15867,14271,1546,405,31,60,539,623,140,70,49,0,12519,50,388
vs Stuttgart,27,34.0,14991,13405,1527,356,39,70,522,652,143,67,58,0,11590,59,311
vs Union Berlin,30,34.0,19979,18270,1661,435,40,100,734,721,175,85,65,1,16055,48,393
vs Werder Bremen,30,34.0,18711,17015,1623,435,48,69,634,667,199,91,80,1,15028,73,324
vs Wolfsburg,28,34.0,18266,16558,1613,426,41,107,616,716,171,58,72,1,14716,95,375
