Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
vs Alavés,3,38.0,38,9,0,4,0,43.8,0.27,5.8,0.15,207,550,37.6,1023,198,39.2,35.7,302,49.3,41.0,621,48,7.7,51,1.34,14.8
vs Athletic Club,3,38.0,54,3,0,10,1,51.7,0.31,-1.3,-0.03,228,598,38.1,1195,188,35.6,33.8,337,51.3,41.8,598,36,6.0,32,0.84,12.8
vs Atlético Madrid,2,38.0,68,6,2,4,0,69.2,0.36,1.2,0.03,193,531,36.3,1011,164,40.1,36.3,285,44.2,38.9,505,38,7.5,52,1.37,14.6
vs Barcelona,3,38.0,102,7,1,9,3,89.8,0.35,-9.2,-0.24,242,703,34.4,906,171,53.4,42.4,360,60.8,44.9,564,29,5.1,37,0.97,11.4
vs Betis,3,38.0,57,7,1,8,2,56.7,0.27,1.7,0.05,186,571,32.6,986,155,42.1,36.8,303,51.5,41.9,474,37,7.8,52,1.37,14.1
vs Celta Vigo,2,38.0,59,8,1,3,1,61.0,0.31,3.0,0.08,223,616,36.2,1135,137,41.8,37.0,248,57.3,44.4,377,23,6.1,81,2.13,18.9
vs Espanyol,1,38.0,40,5,1,6,2,33.4,0.3,-4.6,-0.12,151,389,38.8,930,166,30.0,32.0,247,44.5,38.7,480,32,6.7,64,1.68,16.3
vs Getafe,1,38.0,34,5,1,4,0,37.1,0.27,3.1,0.08,182,587,31.0,1081,175,39.6,36.9,323,49.2,41.3,567,48,8.5,39,1.03,13.2
vs Girona,3,38.0,44,4,0,7,1,43.8,0.29,0.8,0.02,146,465,31.4,871,117,38.5,36.4,268,48.5,40.3,602,29,4.8,31,0.82,12.8
vs Las Palmas,2,38.0,40,3,3,4,2,37.3,0.25,-0.7,-0.02,155,451,34.4,907,142,33.6,33.9,268,54.5,43.6,500,29,5.8,41,1.08,14.6
vs Leganés,2,38.0,39,5,1,3,1,38.5,0.28,0.5,0.01,148,402,36.8,895,189,31.8,32.8,255,45.9,39.9,382,26,6.8,55,1.45,16.4
vs Mallorca,2,38.0,35,4,0,5,1,37.4,0.3,3.4,0.09,131,416,31.5,801,162,33.6,35.3,280,52.5,41.8,580,39,6.7,44,1.16,14.5
vs Osasuna,2,38.0,48,9,2,6,2,41.2,0.27,-4.8,-0.13,128,413,31.0,885,167,31.4,33.0,285,47.4,40.5,615,26,4.2,34,0.89,14.2
vs Rayo Vallecano,2,38.0,41,0,1,6,3,37.3,0.23,-0.7,-0.02,176,543,32.4,960,173,39.8,37.4,340,47.4,40.4,595,31,5.2,41,1.08,13.4
vs Real Madrid,3,38.0,78,10,2,8,0,67.5,0.24,-10.5,-0.28,174,521,33.4,810,149,44.1,39.5,315,52.1,42.1,437,25,5.7,52,1.37,15.3
vs Real Sociedad,2,38.0,35,4,1,3,1,33.0,0.24,-1.0,-0.03,209,636,32.9,965,118,48.5,39.8,302,55.6,44.6,552,30,5.4,38,1.0,15.0
vs Sevilla,2,38.0,42,2,0,4,3,42.7,0.27,3.7,0.1,148,478,31.0,927,147,34.1,33.9,315,51.4,42.7,488,29,5.9,57,1.5,15.9
vs Valencia,2,38.0,44,5,0,6,1,43.2,0.34,0.2,0.01,194,495,39.2,967,149,37.5,36.1,280,47.1,39.9,579,46,7.9,50,1.32,13.6
vs Valladolid,3,38.0,26,5,2,2,0,27.9,0.24,1.9,0.05,143,404,35.4,838,166,33.2,34.0,229,55.0,45.1,531,31,5.8,52,1.37,15.9
vs Villarreal,2,38.0,71,5,0,6,2,64.5,0.34,-4.5,-0.12,218,497,43.9,968,155,35.2,35.1,332,47.0,39.7,506,32,6.3,53,1.4,15.0
