Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Augsburg,22,26.5,47.5,6,66,540,6.0,11,8,19,11,0,0,21,0,6.3,6.3,5.2,11.5,85,204,1.83,1.33,3.17,1.83,3.17,1.05,0.86,1.92,1.05,1.92
Bayern Munich,20,28.7,61.8,6,66,540,6.0,25,19,44,21,4,4,16,0,16.4,13.4,11.0,24.4,126,305,4.17,3.17,7.33,3.5,6.67,2.73,1.84,4.57,2.23,4.07
Dortmund,21,26.8,57.8,6,66,540,6.0,12,11,23,12,0,1,9,1,10.1,9.3,8.2,17.5,121,325,2.0,1.83,3.83,2.0,3.83,1.68,1.36,3.04,1.55,2.91
Eint Frankfurt,22,24.7,55.5,6,66,540,6.0,17,14,31,16,1,1,13,0,10.1,9.3,8.3,17.6,117,259,2.83,2.33,5.17,2.67,5.0,1.68,1.39,3.07,1.55,2.94
Freiburg,23,27.8,49.7,6,66,540,6.0,8,4,12,5,3,3,10,1,9.2,6.8,5.7,12.5,74,205,1.33,0.67,2.0,0.83,1.5,1.53,0.95,2.47,1.13,2.08
Gladbach,23,26.2,51.0,7,77,630,7.0,6,6,12,6,0,0,16,0,8.1,8.1,6.4,14.5,113,301,0.86,0.86,1.71,0.86,1.71,1.16,0.91,2.07,1.16,2.07
Hamburger SV,24,26.2,44.3,6,66,540,6.0,6,5,11,6,0,0,15,2,6.4,6.4,5.0,11.4,105,159,1.0,0.83,1.83,1.0,1.83,1.07,0.83,1.9,1.07,1.9
Heidenheim,23,26.9,40.5,6,66,540,6.0,4,3,7,4,0,0,12,1,6.8,6.8,5.8,12.6,60,152,0.67,0.5,1.17,0.67,1.17,1.13,0.96,2.09,1.13,2.09
Hoffenheim,20,26.6,51.8,6,66,540,6.0,9,5,14,7,2,2,12,0,9.0,7.4,6.2,13.6,98,216,1.5,0.83,2.33,1.17,2.0,1.5,1.04,2.54,1.23,2.27
Köln,22,25.8,44.7,6,66,540,6.0,11,9,20,11,0,0,11,0,9.0,9.0,7.5,16.6,78,170,1.83,1.5,3.33,1.83,3.33,1.51,1.25,2.76,1.51,2.76
Leverkusen,23,26.5,56.5,6,66,540,6.0,12,5,17,10,2,2,19,2,10.1,8.5,5.3,13.8,98,185,2.0,0.83,2.83,1.67,2.5,1.68,0.89,2.57,1.42,2.3
Mainz 05,23,28.4,53.3,6,66,540,6.0,5,2,7,4,1,1,13,3,8.1,7.3,5.7,13.0,83,274,0.83,0.33,1.17,0.67,1.0,1.35,0.94,2.3,1.22,2.16
RB Leipzig,21,25.9,48.8,6,66,540,6.0,8,5,13,8,0,1,9,0,11.1,10.4,6.3,16.7,142,217,1.33,0.83,2.17,1.33,2.17,1.86,1.06,2.92,1.73,2.78
St. Pauli,17,27.2,52.5,6,66,540,6.0,8,4,12,7,1,2,12,0,7.0,5.4,4.1,9.5,85,250,1.33,0.67,2.0,1.17,1.83,1.16,0.68,1.85,0.9,1.58
Stuttgart,22,25.4,59.2,6,66,540,6.0,8,7,15,7,1,2,10,0,7.9,6.3,5.7,12.0,132,294,1.33,1.17,2.5,1.17,2.33,1.31,0.95,2.26,1.05,1.99
Union Berlin,19,27.9,32.3,7,77,630,7.0,11,6,17,11,0,1,17,1,9.1,8.3,5.4,13.7,73,146,1.57,0.86,2.43,1.57,2.43,1.3,0.77,2.07,1.19,1.96
Werder Bremen,22,25.1,46.7,6,66,540,6.0,9,5,14,7,2,3,15,1,8.7,6.3,5.3,11.6,89,217,1.5,0.83,2.33,1.17,2.0,1.44,0.88,2.32,1.06,1.93
Wolfsburg,21,25.9,48.8,6,66,540,6.0,8,6,14,7,1,1,11,1,9.5,8.7,7.5,16.2,75,174,1.33,1.0,2.33,1.17,2.17,1.58,1.24,2.83,1.45,2.69
