Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Augsburg,22,6.0,105,68,45,47,13,52,86,60.5,34,62,15,47,63,168,182,7
vs Bayern Munich,20,6.0,112,66,68,31,13,68,118,57.6,50,89,30,59,60,172,154,9
vs Dortmund,21,6.0,109,60,57,43,9,56,104,53.8,48,64,17,47,73,182,170,5
vs Eint Frankfurt,22,6.0,98,50,53,34,11,48,88,54.5,40,78,22,56,37,135,195,3
vs Freiburg,23,6.0,80,43,36,35,9,39,78,50.0,39,59,19,40,49,129,251,2
vs Gladbach,23,7.0,111,58,47,49,15,53,79,67.1,26,72,22,50,51,162,196,3
vs Hamburger SV,24,6.0,85,42,39,29,17,41,92,44.6,51,58,17,41,54,139,146,4
vs Heidenheim,23,6.0,67,47,34,25,8,36,63,57.1,27,53,11,42,50,117,168,5
vs Hoffenheim,20,6.0,80,51,41,32,7,33,68,48.5,35,72,22,50,57,137,185,4
vs Köln,22,6.0,73,50,36,26,11,29,54,53.7,25,58,24,34,28,101,147,2
vs Leverkusen,23,6.0,97,62,34,44,19,52,101,51.5,49,58,14,44,51,148,129,7
vs Mainz 05,23,6.0,82,54,44,27,11,34,76,44.7,42,84,30,54,65,147,292,3
vs RB Leipzig,21,6.0,87,51,51,22,14,52,123,42.3,71,79,29,50,54,141,142,4
vs St. Pauli,17,6.0,91,54,39,43,9,39,71,54.9,32,70,20,50,64,155,210,2
vs Stuttgart,22,6.0,81,54,40,33,8,32,63,50.8,31,71,28,43,54,135,167,1
vs Union Berlin,19,7.0,104,62,56,40,8,43,78,55.1,35,75,21,54,36,140,237,6
vs Werder Bremen,22,6.0,99,58,35,42,22,50,87,57.5,37,67,14,53,71,170,109,5
vs Wolfsburg,21,6.0,72,39,34,27,11,34,58,58.6,24,72,21,51,53,125,118,5
