Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2023-04-08,14:00,La Liga,Matchweek 28,Sat,Home,W,2,1,Elche,1.2,0.7,61.0,16925,Unai García,4-3-3,4-3-3,Pablo González,Match Report,
2023-04-14,21:00,La Liga,Matchweek 29,Fri,Away,L,1,2,Rayo Vallecano,0.6,0.9,54.0,12726,David García,4-3-3,4-2-3-1,José Luis Munuera,Match Report,
2023-04-22,14:00,La Liga,Matchweek 30,Sat,Home,W,3,2,Betis,1.5,2.0,38.0,19723,David García,4-3-3,4-2-3-1,Alberola Rojas,Match Report,
2023-04-25,19:30,La Liga,Matchweek 31,Tue,Away,W,1,0,Cádiz,1.0,1.4,44.0,18008,Unai García,4-1-4-1,4-4-2,Carlos del Cerro,Match Report,
2023-04-28,21:00,La Liga,Matchweek 32,Fri,Home,L,0,2,Real Sociedad,1.4,1.4,51.0,21570,Kike Barja,4-2-3-1,4-3-3,Valentín Pizarro,Match Report,
2023-05-02,19:30,La Liga,Matchweek 33,Tue,Away,L,0,1,Barcelona,0.4,2.8,24.0,76061,Unai García,4-2-3-1,4-2-3-1,Javier Villanueva,Match Report,
2023-05-06,22:00,Copa del Rey,Final,Sat,Away,L,1,2,Real Madrid,,,41.0,55579,David García,4-2-3-1,4-3-3,José Sánchez,Match Report,
2023-05-13,16:15,La Liga,Matchweek 34,Sat,Home,W,3,1,Almería,1.9,0.5,56.0,19747,David García,4-3-3,4-3-3,Antonio Matéu,Match Report,
2023-05-21,16:15,La Liga,Matchweek 35,Sun,Away,L,0,3,Atlético Madrid,0.8,1.9,46.0,57012,David García,4-3-3,5-3-2,Pablo González,Match Report,
2023-05-25,21:30,La Liga,Matchweek 36,Thu,Home,W,2,0,Athletic Club,0.8,0.8,49.0,19830,David García,4-2-3-1,4-2-3-1,Alejandro Muñíz,Match Report,
2023-05-28,19:00,La Liga,Matchweek 37,Sun,Away,L,1,2,Getafe,0.5,2.5,50.0,13510,David García,4-2-3-1,4-3-3,Antonio Matéu,Match Report,
2023-06-04,18:30,La Liga,Matchweek 38,Sun,Home,W,2,1,Girona,1.8,0.9,37.0,22128,David García,4-3-3,4-1-4-1,Miguel Ángel Ortiz Arias,Match Report,
