Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2022-08-05,21:00,Ligue 1,Matchweek 1,Fri,Home,W,2,1,Ajaccio,1.3,1.5,67,48516,Alexandre Lacazette,4-3-3,4-4-2,Benoît Bastien,Match Report,
2022-08-19,21:00,Ligue 1,Matchweek 3,Fri,Home,W,4,1,Troyes,2.6,1.0,66,43000,Alexandre Lacazette,4-3-3,5-4-1,Eric Wattellier,Match Report,
2022-08-28,17:05,Ligue 1,Matchweek 4,Sun,Away,D,1,1,Reims,1.1,0.4,74,14930,Alexandre Lacazette,4-3-3,3-4-1-2,Jeremy Stinat,Match Report,
2022-08-31,19:00,Ligue 1,Matchweek 5,Wed,Home,W,2,1,Auxerre,2.6,0.7,62,38609,Alexandre Lacazette,4-3-3,4-1-4-1,Pierre Gaillouste,Match Report,
2022-09-03,19:00,Ligue 1,Matchweek 6,Sat,Home,W,5,0,Angers,1.4,1.0,64,39586,Alexandre Lacazette,4-3-3,3-1-4-2,Thomas Léonard,Match Report,
2022-09-07,19:00,Ligue 1,Matchweek 2,Wed,Away,L,1,3,Lorient,2.2,1.0,66,13685,Alexandre Lacazette,4-3-3,4-3-3,Bastien Dechepy,Match Report,
2022-09-11,20:45,Ligue 1,Matchweek 7,Sun,Away,L,1,2,Monaco,2.0,1.7,61,7000,Alexandre Lacazette,4-3-3,3-4-3,Clément Turpin,Match Report,
2022-09-18,20:45,Ligue 1,Matchweek 8,Sun,Home,L,0,1,Paris S-G,1.0,1.6,35,58230,Alexandre Lacazette,4-4-2,3-4-3,François Letexier,Match Report,
2022-10-02,20:45,Ligue 1,Matchweek 9,Sun,Away,L,0,1,Lens,0.1,2.9,48,36674,Alexandre Lacazette,4-2-3-1,3-4-3,Benoît Bastien,Match Report,
2022-10-07,21:00,Ligue 1,Matchweek 10,Fri,Home,D,1,1,Toulouse,1.4,0.5,58,41295,Alexandre Lacazette,4-2-3-1,4-3-3,Ruddy Buquet,Match Report,
2022-10-16,15:00,Ligue 1,Matchweek 11,Sun,Away,L,2,3,Rennes,1.1,1.6,60,28152,Alexandre Lacazette,3-4-1-2,4-4-2,Stéphanie Frappart,Match Report,
2022-10-22,17:00,Ligue 1,Matchweek 12,Sat,Away,W,2,1,Montpellier,2.7,1.1,62,15339,Alexandre Lacazette,3-4-1-2,4-2-3-1,Thomas Léonard,Match Report,
2022-10-30,20:45,Ligue 1,Matchweek 13,Sun,Home,W,1,0,Lille,1.6,1.5,45,55790,Alexandre Lacazette,3-5-2,4-2-3-1,Jérôme Brisard,Match Report,
2022-11-06,20:45,Ligue 1,Matchweek 14,Sun,Away,L,0,1,Marseille,0.9,0.8,53,62975,Alexandre Lacazette,4-1-2-1-2◆,3-4-3,François Letexier,Match Report,
2022-11-11,21:00,Ligue 1,Matchweek 15,Fri,Home,D,1,1,Nice,1.3,1.6,63,57000,Alexandre Lacazette,4-3-3,4-4-2,Eric Wattellier,Match Report,
2022-12-28,21:00,Ligue 1,Matchweek 16,Wed,Away,W,4,2,Brest,3.1,1.3,57,14601,Alexandre Lacazette,4-2-3-1,4-3-3,Bastien Dechepy,Match Report,
2023-01-01,17:00,Ligue 1,Matchweek 17,Sun,Home,L,0,1,Clermont Foot,0.7,1.2,60,30000,Alexandre Lacazette,4-2-3-1,3-4-3,Stéphanie Frappart,Match Report,
2023-01-07,15:30,Coupe de France,Round of 64,Sat,Home,W,2,1,Metz,,,65,29763,Anthony Lopes,4-3-3,4-3-3,Florent Batta,Match Report,
2023-01-11,19:00,Ligue 1,Matchweek 18,Wed,Away,D,0,0,Nantes,0.5,1.1,60,27657,Alexandre Lacazette,4-3-3,4-4-2,Marc Bollengier,Match Report,
2023-01-14,21:00,Ligue 1,Matchweek 19,Sat,Home,L,1,2,Strasbourg,2.8,1.1,72,38473,Alexandre Lacazette,3-4-1-2,5-3-2,Jeremy Stinat,Match Report,
2023-01-21,15:30,Coupe de France,Round of 32,Sat,Away,W,3,0,SO Chambéry Foot,,,65,18344,Alexandre Lacazette,4-4-1-1,3-4-3,Gaël Angoula,Match Report,
2023-01-29,17:05,Ligue 1,Matchweek 20,Sun,Away,W,2,0,Ajaccio,1.9,1.7,49,6788,Alexandre Lacazette,4-1-4-1,4-4-2,Thomas Léonard,Match Report,
2023-02-01,21:00,Ligue 1,Matchweek 21,Wed,Home,D,0,0,Brest,2.5,0.6,75,30837,Alexandre Lacazette,4-3-1-2,4-1-4-1,Ruddy Buquet,Match Report,
2023-02-04,19:00,Ligue 1,Matchweek 22,Sat,Away,W,3,1,Troyes,0.8,1.0,58,10240,Alexandre Lacazette,4-3-1-2,3-5-2,François Letexier,Match Report,
2023-02-08,18:15,Coupe de France,Round of 16,Wed,Home,D,2 (4),2 (2),Lille,,,39,24779,Alexandre Lacazette,4-3-1-2,4-2-3-1,Benoît Millot,Match Report,Lyon won on penalty kicks following normal time
2023-02-12,20:45,Ligue 1,Matchweek 23,Sun,Home,W,2,1,Lens,1.4,1.1,41,53426,Alexandre Lacazette,3-4-1-2,3-4-3,Eric Wattellier,Match Report,
2023-02-17,21:00,Ligue 1,Matchweek 24,Fri,Away,L,1,2,Auxerre,0.8,1.5,65,16396,Anthony Lopes,3-4-1-2,3-4-3,Jérôme Brisard,Match Report,
2023-02-25,17:00,Ligue 1,Matchweek 25,Sat,Away,W,3,1,Angers,1.1,1.5,57,12031,Anthony Lopes,4-3-3,4-3-3,Florent Batta,Match Report,
2023-02-28,21:10,Coupe de France,Quarter-finals,Tue,Home,W,2,1,Grenoble,,,65,34017,Anthony Lopes,4-2-3-1,4-1-4-1,Stéphanie Frappart,Match Report,
2023-03-05,17:05,Ligue 1,Matchweek 26,Sun,Home,D,0,0,Lorient,2.2,1.0,53,38568,Corentin Tolisso,4-3-3,4-1-4-1,Thomas Léonard,Match Report,
