Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2021-03-13,17:00,Ligue 1,Matchweek 29,Sat,Home,W,3,1,Brest,1.7,0.4,41.0,,Steve Mandanda,3-1-4-2,4-4-2,Jérôme Miguelgorry,Match Report,
2021-03-20,17:00,Ligue 1,Matchweek 30,Sat,Away,L,0,3,Nice,0.4,2.4,57.0,,Steve Mandanda,3-5-2,4-3-3,François Letexier,Match Report,
2021-04-04,21:00,Ligue 1,Matchweek 31,Sun,Home,W,2,0,Dijon,1.3,0.1,63.0,,Steve Mandanda,3-4-3,3-4-1-2,Ruddy Buquet,Match Report,
2021-04-10,21:00,Ligue 1,Matchweek 32,Sat,Away,D,3,3,Montpellier,1.6,2.3,56.0,,Steve Mandanda,3-4-3,4-3-3,Jérôme Brisard,Match Report,
2021-04-17,17:00,Ligue 1,Matchweek 33,Sat,Home,W,3,2,Lorient,2.2,1.4,73.0,,Steve Mandanda,5-3-2,5-4-1,Hakim Ben El Hadj Salem,Match Report,
2021-04-23,21:00,Ligue 1,Matchweek 34,Fri,Away,W,3,1,Reims,2.1,0.6,58.0,,Steve Mandanda,3-5-2,4-1-4-1,Eric Wattellier,Match Report,
2021-04-30,21:00,Ligue 1,Matchweek 35,Fri,Home,D,1,1,Strasbourg,1.0,0.4,68.0,,Steve Mandanda,3-5-2,5-3-2,Stéphanie Frappart,Match Report,
2021-05-09,13:00,Ligue 1,Matchweek 36,Sun,Away,L,0,1,Saint-Étienne,1.6,1.4,55.0,,Steve Mandanda,3-1-4-2,4-4-2,Johan Hamel,Match Report,
2021-05-16,21:00,Ligue 1,Matchweek 37,Sun,Home,W,3,2,Angers,2.4,1.7,53.0,,Steve Mandanda,4-4-2,4-2-3-1,Franck Schneider,Match Report,
2021-05-23,21:00,Ligue 1,Matchweek 38,Sun,Away,D,1,1,Metz,1.3,1.1,64.0,,Steve Mandanda,3-4-1-2,4-3-3,Hakim Ben El Hadj Salem,Match Report,
