Date,Comp,venue,opponent,goals_for,goals_against,result
2022-08-06,Premier League,Away,Leeds United,1,2,L
2022-08-13,Premier League,Home,Fulham,0,0,D
2022-08-20,Premier League,Away,Tottenham,0,1,L
2022-08-28,Premier League,Home,Newcastle Utd,1,1,D
2022-08-31,Premier League,Away,Bournemouth,0,0,D
2022-09-03,Premier League,Home,Southampton,1,0,W
2022-09-17,Premier League,Home,Manchester City,0,3,L
2022-10-01,Premier League,Away,West Ham,0,2,L
2022-10-08,Premier League,Away,Chelsea,0,3,L
2022-10-15,Premier League,Home,Nott'ham Forest,1,0,W
2022-10-18,Premier League,Away,Crystal Palace,1,2,L
2022-10-23,Premier League,Home,Leicester City,0,4,L
2022-10-29,Premier League,Away,Brentford,1,1,D
2022-11-05,Premier League,Home,Brighton,2,3,L
2022-11-12,Premier League,Home,Arsenal,0,2,L
2022-12-26,Premier League,Away,Everton,2,1,W
2022-12-31,Premier League,Home,Manchester Utd,0,1,L
2023-01-04,Premier League,Away,Aston Villa,1,1,D
2023-01-14,Premier League,Home,West Ham,1,0,W
2023-01-22,Premier League,Away,Manchester City,0,3,L
2023-02-04,Premier League,Home,Liverpool,3,0,W
2023-02-11,Premier League,Away,Southampton,2,1,W
2023-02-18,Premier League,Home,Bournemouth,0,1,L
2023-02-24,Premier League,Away,Fulham,1,1,D
2023-03-01,Premier League,Away,Liverpool,0,2,L
2023-03-04,Premier League,Home,Tottenham,1,0,W
2023-03-12,Premier League,Away,Newcastle Utd,1,2,L
2023-03-18,Premier League,Home,Leeds United,2,4,L
2023-04-01,Premier League,Away,Nott'ham Forest,1,1,D
2023-04-08,Premier League,Home,Chelsea,1,0,W
2023-04-15,Premier League,Home,Brentford,2,0,W
2023-04-22,Premier League,Away,Leicester City,1,2,L
2023-04-25,Premier League,Home,Crystal Palace,2,0,W
2023-04-29,Premier League,Away,Brighton,0,6,L
2023-05-06,Premier League,Home,Aston Villa,1,0,W
2023-05-13,Premier League,Away,Manchester Utd,0,2,L
2023-05-20,Premier League,Home,Everton,1,1,D
2023-05-28,Premier League,Away,Arsenal,0,5,L
