Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2023-03-17,20:00,Premier League,Matchweek 28,Fri,Away,W,2,1,Nott'ham Forest,2.4,0.4,61,29362,Kieran Trippier,4-3-3,4-2-3-1,Paul Tierney,Match Report,
2023-04-02,16:30,Premier League,Matchweek 29,Sun,Home,W,2,0,Manchester Utd,3.7,0.4,46,52268,Kieran Trippier,4-3-3,4-2-3-1,Stuart Attwell,Match Report,
2023-04-05,20:00,Premier League,Matchweek 7,Wed,Away,W,5,1,West Ham,3.3,1.0,58,62481,Kieran Trippier,4-3-3,4-2-3-1,Craig Pawson,Match Report,
2023-04-08,15:00,Premier League,Matchweek 30,Sat,Away,W,2,1,Brentford,1.3,2.6,58,17107,Kieran Trippier,4-3-3,5-3-2,Chris Kavanagh,Match Report,
2023-04-15,12:30,Premier League,Matchweek 31,Sat,Away,L,0,3,Aston Villa,0.5,1.9,48,42055,Kieran Trippier,4-3-3,4-2-3-1,John Brooks,Match Report,
2023-04-23,14:00,Premier League,Matchweek 32,Sun,Home,W,6,1,Tottenham,3.7,1.0,56,52252,Kieran Trippier,4-3-3,4-3-3,David Coote,Match Report,
2023-04-27,19:45,Premier League,Matchweek 33,Thu,Away,W,4,1,Everton,2.4,0.9,60,39248,Kieran Trippier,4-3-3,4-3-3,Andre Marriner,Match Report,
2023-04-30,14:00,Premier League,Matchweek 34,Sun,Home,W,3,1,Southampton,4.3,0.8,63,52234,Kieran Trippier,4-3-3,4-4-2,Anthony Taylor,Match Report,
2023-05-07,16:30,Premier League,Matchweek 35,Sun,Home,L,0,2,Arsenal,1.3,1.3,55,50267,Kieran Trippier,4-3-3,4-3-3,Chris Kavanagh,Match Report,
2023-05-13,12:30,Premier League,Matchweek 36,Sat,Away,D,2,2,Leeds United,2.3,2.0,64,36955,Kieran Trippier,4-3-3,4-3-3,Simon Hooper,Match Report,
2023-05-18,19:30,Premier League,Matchweek 25,Thu,Home,W,4,1,Brighton,3.6,0.5,35,52122,Kieran Trippier,4-3-3,4-2-3-1,Robert Jones,Match Report,
2023-05-22,20:00,Premier League,Matchweek 37,Mon,Home,D,0,0,Leicester City,2.1,0.1,77,52152,Kieran Trippier,4-3-3,5-3-2,Andre Marriner,Match Report,
2023-05-28,16:30,Premier League,Matchweek 38,Sun,Away,D,1,1,Chelsea,1.7,2.2,36,40130,Kieran Trippier,4-3-3,4-2-3-1,Jarred Gillett,Match Report,
