Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Angers,1,7,7,630,7.0,3,0.43,18,15,88.9,4,2,1,4,57.1,1,1,0,0,0.0
vs Auxerre,2,7,7,630,7.0,5,0.71,22,18,77.3,5,0,2,2,28.6,1,0,0,1,
vs Brest,2,7,7,630,7.0,11,1.57,29,18,69.0,3,2,2,2,28.6,2,2,0,0,0.0
vs Le Havre,1,7,7,630,7.0,8,1.14,24,16,70.8,3,3,1,2,28.6,2,1,0,1,0.0
vs Lens,1,7,7,626,7.0,10,1.44,32,22,75.0,2,1,4,3,42.9,2,2,0,0,0.0
vs Lille,2,7,7,630,7.0,14,2.0,32,18,59.4,2,2,3,2,28.6,2,1,0,1,0.0
vs Lorient,2,7,7,630,7.0,9,1.29,28,18,67.9,4,1,2,3,42.9,1,0,1,0,100.0
vs Lyon,2,7,7,630,7.0,9,1.29,31,22,71.0,2,0,5,0,0.0,0,0,0,0,
vs Marseille,2,7,7,630,7.0,15,2.14,38,24,65.8,2,0,5,2,28.6,3,2,0,1,0.0
vs Metz,1,7,7,630,7.0,5,0.71,13,7,69.2,5,2,0,4,57.1,2,1,1,0,50.0
vs Monaco,2,7,7,630,7.0,16,2.29,25,11,48.0,2,1,4,1,14.3,3,3,0,0,0.0
vs Nantes,1,7,7,630,7.0,5,0.71,14,8,64.3,3,3,1,4,57.1,1,0,1,0,100.0
vs Nice,1,7,7,630,7.0,9,1.29,30,22,73.3,3,2,2,1,14.3,1,1,0,0,0.0
vs Paris FC,2,7,7,630,7.0,12,1.71,35,23,71.4,3,1,3,1,14.3,2,2,0,0,0.0
vs Paris S-G,1,8,8,720,8.0,16,2.0,49,33,73.5,1,2,5,1,12.5,4,3,0,1,0.0
vs Rennes,1,7,7,630,7.0,9,1.29,26,18,69.2,1,4,2,2,28.6,1,1,0,0,0.0
vs Strasbourg,2,8,8,720,8.0,17,2.12,40,23,62.5,2,1,5,0,0.0,2,2,0,0,0.0
vs Toulouse,1,7,7,630,7.0,11,1.57,28,16,64.3,3,1,3,1,14.3,3,1,2,0,66.7
