Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Angers,21,7.0,2687,2395,279,82,8,18,107,94,27,20,5,0,2136,13,49
Auxerre,22,7.0,2876,2533,333,118,9,18,104,128,32,6,18,0,2221,10,55
Brest,24,7.0,2887,2542,337,90,11,25,115,134,36,18,13,0,2189,8,53
Le Havre,22,7.0,3257,2911,337,89,4,12,185,151,29,22,7,0,2584,9,63
Lens,22,7.0,3027,2705,309,96,8,24,127,102,40,17,15,1,2414,13,63
Lille,26,7.0,3592,3249,333,109,15,23,141,118,41,8,23,0,2941,10,81
Lorient,22,7.0,3205,2884,310,116,10,9,106,105,19,7,8,0,2659,11,61
Lyon,22,7.0,3636,3295,334,116,16,29,127,108,44,23,16,0,3078,7,62
Marseille,28,7.0,4221,3933,280,73,15,28,122,108,44,19,16,0,3692,8,52
Metz,23,7.0,3447,3132,306,85,4,43,106,108,29,9,14,0,2908,9,59
Monaco,26,7.0,3951,3607,326,70,11,17,139,151,36,17,11,0,3289,18,64
Nantes,21,7.0,2971,2622,341,113,5,18,87,123,26,19,4,0,2362,8,60
Nice,26,7.0,3497,3155,330,99,14,19,150,118,45,18,16,0,2870,12,64
Paris FC,24,7.0,4026,3707,308,82,13,29,128,119,34,22,2,0,3475,11,47
Paris S-G,22,8.0,6403,6085,314,80,13,41,103,134,47,12,11,0,5831,4,69
Rennes,25,7.0,3730,3393,321,97,7,14,114,115,31,14,9,0,3141,16,63
Strasbourg,25,8.0,4182,3843,326,109,17,8,121,117,29,12,13,2,3555,13,56
Toulouse,21,7.0,2574,2300,266,81,13,13,105,85,28,13,11,0,2021,8,47
