Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Angers,21,7.0,11,100,41,41.0,14.29,5.86,0.1,0.24,19.0,6,1,3,13.8,11.4,0.12,-2.8,-1.4
vs Auxerre,22,7.0,9,81,29,35.8,11.57,4.14,0.11,0.31,15.8,1,0,1,9.4,8.7,0.11,-0.4,0.3
vs Brest,24,7.0,11,90,28,31.1,12.86,4.0,0.11,0.36,14.4,2,1,1,11.3,10.5,0.12,-0.3,-0.5
vs Le Havre,22,7.0,9,57,20,35.1,8.14,2.86,0.12,0.35,17.2,2,2,2,7.6,6.0,0.11,1.4,1.0
vs Lens,22,7.0,6,101,24,23.8,14.43,3.43,0.06,0.25,17.7,5,0,0,9.9,9.9,0.1,-3.9,-3.9
vs Lille,26,7.0,10,75,24,32.0,10.71,3.43,0.13,0.42,17.4,2,0,1,10.6,9.7,0.13,-0.6,0.3
vs Lorient,22,7.0,16,70,26,37.1,10.0,3.71,0.2,0.54,18.0,0,2,4,11.3,8.3,0.12,4.7,5.7
vs Lyon,22,7.0,3,95,20,21.1,13.57,2.86,0.03,0.15,16.8,2,0,0,8.4,8.4,0.09,-5.4,-5.4
vs Marseille,28,7.0,5,67,22,32.8,9.57,3.14,0.07,0.23,18.2,4,0,0,7.2,7.2,0.12,-2.2,-2.2
vs Metz,23,7.0,15,101,39,38.6,14.43,5.57,0.13,0.33,18.0,6,2,2,15.4,13.9,0.14,-0.4,-0.9
vs Monaco,26,7.0,11,80,21,26.3,11.43,3.0,0.1,0.38,18.4,1,3,4,11.1,8.0,0.1,-0.1,0.0
vs Nantes,21,7.0,7,109,34,31.2,15.57,4.86,0.05,0.15,18.4,0,2,2,10.5,9.0,0.08,-3.5,-4.0
vs Nice,26,7.0,12,89,32,36.0,12.71,4.57,0.1,0.28,18.2,0,3,3,12.1,9.8,0.11,-0.1,-0.8
vs Paris FC,24,7.0,13,80,27,33.8,11.43,3.86,0.14,0.41,17.0,3,2,3,11.2,9.4,0.13,1.8,1.6
vs Paris S-G,22,8.0,7,74,21,28.4,9.25,2.62,0.09,0.33,17.1,1,0,1,8.6,7.8,0.11,-1.6,-0.8
vs Rennes,25,7.0,10,101,27,26.7,14.43,3.86,0.09,0.33,17.4,2,1,2,12.3,10.7,0.11,-2.3,-1.7
vs Strasbourg,25,8.0,10,92,31,33.7,11.5,3.87,0.1,0.29,17.4,3,1,1,9.9,9.1,0.1,0.1,-0.1
vs Toulouse,21,7.0,12,90,20,22.2,12.86,2.86,0.1,0.45,17.9,3,3,3,9.5,7.2,0.08,2.5,1.8
