Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Angers,1,7,7,630,7.0,11,1.57,43,31,76.7,1,2,4,1,14.3,3,1,1,1,50.0
Auxerre,2,7,7,630,7.0,10,1.43,30,20,66.7,2,0,5,2,28.6,1,0,1,0,100.0
Brest,2,7,7,626,7.0,11,1.58,29,18,65.5,2,2,3,2,28.6,1,1,0,0,0.0
Le Havre,1,7,7,630,7.0,10,1.43,22,13,63.6,1,3,3,1,14.3,2,2,0,0,0.0
Lens,1,7,7,630,7.0,6,0.86,24,18,75.0,4,1,2,2,28.6,0,0,0,0,
Lille,2,7,7,630,7.0,10,1.43,25,14,60.0,3,2,2,1,14.3,1,0,1,0,100.0
Lorient,2,7,7,630,7.0,16,2.29,28,12,50.0,2,1,4,1,14.3,4,2,0,2,0.0
Lyon,2,7,7,630,7.0,5,0.71,20,17,75.0,5,0,2,5,71.4,0,0,0,0,
Marseille,2,7,7,630,7.0,5,0.71,22,17,77.3,5,0,2,3,42.9,0,0,0,0,
Metz,1,7,7,630,7.0,16,2.29,41,26,65.9,0,2,5,1,14.3,2,2,0,0,0.0
Monaco,2,7,7,630,7.0,12,1.71,24,13,62.5,4,1,2,0,0.0,4,3,0,1,0.0
Nantes,1,7,7,630,7.0,7,1.0,36,29,86.1,1,3,3,2,28.6,2,2,0,0,0.0
Nice,1,7,7,630,7.0,12,1.71,35,23,74.3,2,2,3,1,14.3,3,3,0,0,0.0
Paris FC,2,7,7,630,7.0,13,1.86,29,16,62.1,3,1,3,1,14.3,3,2,0,1,0.0
Paris S-G,1,8,8,720,8.0,8,1.0,22,14,63.6,5,2,1,4,50.0,1,0,1,0,100.0
Rennes,1,7,7,630,7.0,10,1.43,29,18,69.0,2,4,1,2,28.6,2,1,1,0,50.0
Strasbourg,2,8,8,720,8.0,10,1.25,32,22,71.9,5,1,2,4,50.0,1,1,0,0,0.0
Toulouse,1,7,7,630,7.0,12,1.71,23,11,60.9,3,1,3,2,28.6,3,3,0,0,0.0
