Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
vs Angers,1,7.0,3,1,0,0,0,4.8,0.24,1.8,0.26,19,56,33.9,254,25,15.7,26.3,50,32.0,32.3,84,7,8.3,11,1.57,14.9
vs Auxerre,2,7.0,5,0,0,1,1,5.3,0.26,1.3,0.19,14,52,26.9,175,24,23.4,29.6,39,28.2,27.8,85,8,9.4,7,1.0,13.7
vs Brest,2,7.0,11,2,0,0,0,11.7,0.35,0.7,0.09,21,59,35.6,171,28,24.6,29.8,60,28.3,29.5,99,5,5.1,9,1.29,13.7
vs Le Havre,1,7.0,8,1,0,2,0,8.8,0.33,0.8,0.12,19,63,30.2,188,32,24.5,30.8,63,27.0,24.8,141,9,6.4,5,0.71,12.9
vs Lens,1,7.0,10,2,0,3,0,13.3,0.39,3.3,0.47,37,95,38.9,188,29,35.6,35.9,55,50.9,42.2,98,6,6.1,14,2.01,18.1
vs Lille,2,7.0,14,1,0,1,0,10.8,0.32,-3.2,-0.45,34,95,35.8,193,23,38.3,35.8,50,42.0,35.4,109,4,3.7,4,0.57,11.5
vs Lorient,2,7.0,9,0,0,1,0,8.9,0.28,-0.1,-0.02,29,72,40.3,182,27,35.2,34.7,44,18.2,25.1,84,6,7.1,2,0.29,12.7
vs Lyon,2,7.0,9,0,0,1,0,13.2,0.45,4.2,0.6,35,94,37.2,191,18,40.8,36.8,48,33.3,30.1,108,7,6.5,5,0.71,12.1
vs Marseille,2,7.0,15,2,0,3,1,10.8,0.25,-3.2,-0.46,20,65,30.8,200,27,29.0,33.5,44,15.9,19.6,98,4,4.1,4,0.57,12.5
vs Metz,1,7.0,5,1,0,2,0,7.4,0.45,2.4,0.34,13,35,37.1,176,30,17.0,25.6,35,14.3,23.6,83,7,8.4,9,1.29,13.9
vs Monaco,2,7.0,16,3,0,1,2,13.6,0.45,-0.4,-0.06,33,90,36.7,196,22,29.6,32.6,61,52.5,37.9,103,6,5.8,7,1.0,12.8
vs Nantes,1,7.0,5,0,0,1,0,4.2,0.24,-0.8,-0.12,30,91,33.0,187,25,41.7,37.0,46,28.3,28.0,68,4,5.9,13,1.86,18.1
vs Nice,1,7.0,9,1,0,1,1,7.4,0.22,-0.6,-0.09,44,140,31.4,226,26,50.9,40.3,66,37.9,31.7,115,10,8.7,10,1.43,14.2
vs Paris FC,2,7.0,12,2,0,0,0,12.1,0.31,0.1,0.01,27,74,36.5,205,31,28.8,33.8,62,24.2,22.2,94,11,11.7,10,1.43,12.0
vs Paris S-G,1,8.0,16,3,1,4,0,15.4,0.27,-0.6,-0.07,60,123,48.8,188,22,53.7,42.3,79,27.8,25.5,79,7,8.9,2,0.25,9.0
vs Rennes,1,7.0,9,1,0,1,1,7.0,0.25,-1.0,-0.14,24,55,43.6,154,32,27.3,32.0,49,26.5,32.4,85,9,10.6,11,1.57,14.5
vs Strasbourg,2,8.0,17,2,0,1,0,16.4,0.38,-0.6,-0.07,26,73,35.6,279,33,22.2,29.4,47,23.4,25.5,99,9,9.1,10,1.25,15.1
vs Toulouse,1,7.0,11,1,0,2,1,9.5,0.25,-0.5,-0.08,18,61,29.5,216,26,22.7,29.4,42,28.6,30.8,77,5,6.5,8,1.14,14.3
