Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Angers,21,7.0,10,1,0,73,73,13,107,59,83,1,3,0,278,66,70,48.5
Auxerre,22,7.0,17,3,1,88,108,10,104,65,83,0,1,1,295,99,114,46.5
Brest,24,7.0,10,2,0,85,71,8,115,55,85,1,1,0,291,122,110,52.6
Le Havre,22,7.0,13,0,0,109,80,9,185,58,53,2,2,1,287,92,94,49.5
Lens,22,7.0,16,2,1,91,88,13,127,83,74,1,0,0,330,93,98,48.7
Lille,26,7.0,15,0,0,92,97,10,141,72,57,1,1,0,293,98,69,58.7
Lorient,22,7.0,23,1,0,86,103,11,106,69,55,1,4,0,256,76,104,42.2
Lyon,22,7.0,14,1,0,115,97,7,127,52,52,0,0,2,246,77,79,49.4
Marseille,28,7.0,16,1,0,87,68,8,122,39,56,3,0,0,242,76,54,58.5
Metz,23,7.0,7,1,0,79,72,9,106,42,82,2,2,1,272,49,57,46.2
Monaco,26,7.0,15,1,1,87,65,18,139,63,72,1,4,1,305,91,81,52.9
Nantes,21,7.0,10,0,0,80,85,8,87,52,67,1,2,0,258,82,80,50.6
Nice,26,7.0,17,1,1,88,91,12,150,57,63,0,3,0,284,97,103,48.5
Paris FC,24,7.0,7,1,0,80,71,11,128,47,61,1,3,0,274,68,90,43.0
Paris S-G,22,8.0,7,0,0,78,78,4,103,46,85,4,1,1,380,52,59,46.8
Rennes,25,7.0,12,3,0,87,81,16,114,48,54,0,2,0,285,60,60,50.0
Strasbourg,25,8.0,17,2,1,94,99,13,121,51,78,2,1,0,367,73,72,50.3
Toulouse,21,7.0,19,1,0,99,76,8,105,63,72,2,3,0,296,107,84,56.0
